# Index:,NWES_004,,
# Station Description:,38a Oceanographic Mooring,,
# Region Code:,NWES,,
# Latitude:,53.783 N,,
# Longitude:,5.625 W,,
# Detailed Location (WKT):,,,
# Measurement Depth/Range:,Seabed,,
# Sampling Frequency:,,,
# Long Term Averaging Period:,2003-2020,,
# Long Term Mean:,10.46789388,,
# Long Term Standard Deviation:,2.027797499,,
# Calculation Methodology:,,,
# Data Source:,AFBI Northern Ireland,,
# Contact Name (email):,Billy Hunter (billy.hunter@afbini.gov.uk),,
# Notes:,,,
# Reference:,,,
# DOI:,,,
# Website:,,,
Year,Temperature °C,Temperature Anomaly °C,Temperature Anomaly Normalised °C
					
1997,10.42590785,-0.041986034,-0.02070524
1998,10.91569,0.447796116,0.220828814
1999,10.57345095,0.105557067,0.052055034
2000,10.45787316,-0.010020721,-0.004941677
2001,10.01858959,-0.44930429,-0.221572564
2002,10.47400247,0.006108586,0.003012424
2003,10.51971661,0.05182273,0.025556166
2004,10.55189208,0.083998197,0.041423366
2005,10.31404953,-0.153844353,-0.07586771
2006,10.66187198,0.193978103,0.095659504
2007,11.04482768,0.576933805,0.284512534
2008,10.56860328,0.100709399,0.049664426
2009,10.48948849,0.021594614,0.010649295
2010,9.896532263,-0.571361616,-0.281764632
2011,10.5175989,0.049705025,0.024511829
2012,10.53087981,0.062985932,0.031061253
2013,9.692486301,-0.775407578,-0.382389059
2014,10.53775895,0.069865071,0.034453673
2015,9.994642793,-0.473251086,-0.233381828
2016,10.76930109,0.301407209,0.148637726
2017,10.76307008,0.295176201,0.14556493
2018,9.965731108,-0.502162771,-0.247639506
2019,10.99195068,0.524056806,0.258436459
2020,10.60979504,0.141901157,0.069977972
2021,10.65124499,0.183351108,0.090418845
2022,11.04935205,0.581458175,0.286743709
2023,11.01308778,0.545193904,0.268860132
2024,10.45925042,-0.008643464,-0.004262489
2025,10.75913761,0.291243732,0.143625649
