# Index:,NWES_004
# Station Description:,38a Oceanographic Mooring
# Region Code:,NWES
# Latitude:,53.783 N
# Longitude:,5.625 W
# Detailed Location (WKT):,
# Measurement Depth/Range:,Seabed
# Sampling Frequency:,3-hourly
# Data Source:,AFBI Northern Ireland
# Contact Name (email):,Billy Hunter (billy.hunter@afbini.gov.uk)
# Notes:,SBE56 sensor
# Reference:,
# DOI:,
# Website:,
Decimal Year,Temperature °C
1996.29435,7.6
1996.297082,7.6
1996.299814,7.6
1996.302546,7.6
1996.305279,7.6
1996.308011,7.6
1996.310743,7.6
1996.313475,7.6
1996.316208,7.6
1996.31894,7.6125
1996.321672,7.6125
1996.324404,7.6
1996.327137,7.6
1996.329869,7.6
1996.332601,7.6
1996.335333,7.7125
1996.338066,8
1996.340798,8.175
1996.34353,8.275
1996.346262,8.35
1996.348995,8.3
1996.351727,8.2375
1996.354459,8.3667
1996.357191,8.419833333
1996.359923,8.485354545
1996.362656,8.458966667
1996.365388,8.5231375
1996.36812,8.4
1996.370852,8.4
1996.373585,8.4
1996.376317,8.4
1996.379049,8.4
1996.381781,8.4
1996.384514,8.4
1996.387246,8.4
1996.389978,8.4
1996.39271,8.4
1996.395443,8.4
1996.398175,8.375
1996.400907,8.325
1996.403639,8.3125
1996.406372,8.2875
1996.409104,8.2625
1996.411836,8.1625
1996.414568,8.375
1996.417301,8.075
1996.420033,7.875
1996.422765,7.9
1996.425497,8.0125
1996.42823,8.0625
1996.430962,8.0125
1996.433694,8
1996.436426,8
1996.439158,8
1996.441891,8.05
1996.444623,8.275
1996.447355,8.4
1996.450087,8.4
1996.45282,8.4
1996.455552,8.4
1996.458284,8.4
1996.461016,8.4
1996.463749,8.4
1996.466481,8.4
1996.469213,8.5
1996.471945,8.45
1996.474678,8.4
1996.47741,8.4
1996.480142,8.4125
1996.482874,8.475
1996.485607,8.4875
1996.488339,8.5
1996.491071,8.5
1996.493803,8.5
1996.496536,8.5375
1996.499268,8.5875
1996.502,8.6375
1996.504732,8.7375
1996.507464,8.8
1996.510197,8.9125
1996.512929,9.0125
1996.515661,9.0375
1996.518393,9.0625
1996.521126,9.125
1996.523858,9.175
1996.52659,9.2125
1996.529322,9.175
1996.532055,9.125
1996.534787,9.1375
1996.537519,9.175
1996.540251,9.2
1996.542984,9.2
1996.545716,9.275
1996.548448,9.4
1996.55118,9.475
1996.553913,9.5
1996.556645,9.5625
1996.559377,9.5125
1996.562109,9.4375
1996.564842,9.55
1996.567574,9.5625
1996.570306,9.65
1996.573038,9.7625
1996.57577,9.8875
1996.578503,10.0375
1996.581235,10.05
1996.583967,10.0375
1996.586699,10.125
1996.589432,10.2875
1996.592164,10.175
1996.594896,9.8125
1996.597628,9.9125
1996.600361,9.9375
1996.603093,10
1996.605825,10.0375
1996.608557,10.125
1996.61129,10.2
1996.614022,10.2
1996.616754,11.54801923
1996.619486,11.69656731
1996.622219,11.67608365
1996.624951,11.69460481
1996.627683,11.76720577
1996.630415,11.87727885
1996.633148,12.04152049
1996.63588,11.98363864
1996.638612,12.00935909
1996.641344,12.18413977
1996.644077,12.16970568
1996.646809,12.13943409
1996.649541,12.16436477
1996.652273,12.18698295
1996.655005,12.22340795
1996.657738,12.22579091
1996.66047,12.24464773
1996.663202,12.30347727
1996.665934,12.3832125
1996.668667,12.24466705
1996.671399,12.35687159
1996.674131,12.34616932
1996.676863,12.40406023
1996.679596,12.54584659
1996.682328,12.47387955
1996.68506,12.48564318
1996.687792,12.57634205
1996.690525,12.65120909
1996.693257,12.71997614
1996.695989,12.70061023
1996.698721,12.7382375
1996.701454,12.91202955
1996.704186,13.04668636
1996.706918,13.12503523
1996.70965,13.15395568
1996.712383,13.24708977
1996.715115,13.17785114
1996.717847,13.25939205
1996.720579,13.29379659
1996.723311,13.27947727
