# Index:,NWES_005,,
# Station Description:,38a Oceanographic Mooring,,
# Region Code:,NWES,,
# Latitude:,53.783 N,,
# Longitude:,5.625 W,,
# Detailed Location (WKT):,,,
# Measurement Depth/Range:,Surface,,
# Sampling Frequency:,,,
# Long Term Averaging Period:,2003-2020,,
# Long Term Mean:,11.75806771,,
# Long Term Standard Deviation:,2.618484037,,
# Calculation Methodology:,,,
# Data Source:,AFBI Northern Ireland,,
# Contact Name (email):,Billy Hunter (billy.hunter@afbini.gov.uk),,
# Notes:,,,
# Reference:,,,
# DOI:,,,
# Website:,,,
Year,Temperature °C,Temperature Anomaly °C,Temperature Anomaly Normalised °C
					
1997,11.78656558,0.028497868,0.010883346
1998,11.93158487,0.173517154,0.066266264
1999,11.77336024,0.015292528,0.005840222
2000,11.66917664,-0.088891069,-0.033947531
2001,11.53695918,-0.221108536,-0.08444143
2002,11.83328548,0.075217766,0.028725692
2003,11.97461249,0.216544778,0.082698529
2004,11.96429645,0.206228734,0.078758828
2005,11.89322404,0.135156327,0.05161625
2006,11.99443078,0.236363064,0.09026714
2007,12.205065,0.446997284,0.170708424
2008,11.52226366,-0.235804053,-0.090053653
2009,11.71759812,-0.040469595,-0.015455353
2010,11.4672629,-0.290804814,-0.111058464
2011,11.54583123,-0.212236481,-0.081053189
2012,11.4837445,-0.274323213,-0.104764134
2013,11.11027397,-0.647793741,-0.247392664
2014,12.18165699,0.423589272,0.161768896
2015,11.33515674,-0.422910979,-0.161509856
2016,11.98891293,0.230845219,0.088159872
2017,12.00715902,0.249091304,0.095128059
2018,11.6391742,-0.118893513,-0.045405476
2019,12.01379178,0.255724067,0.097661114
2020,11.60139344,-0.156674271,-0.059833961
2021,12.11347229,0.355404572,0.135729134
2022,12.45266986,0.694602149,0.265268812
2023,12.57255475,0.81448704,0.311052895
2024,11.76055895,0.002491239,0.000951405
2025,12.01739445,0.259326734,0.099036973
