# Index:,NWES_005,,,
# Station Description:,38a Oceanographic Mooring,,,
# Region Code:,NWES,,,
# Latitude:,53.783 N,,,
# Longitude:,5.625 W,,,
# Detailed Location (WKT):,,,,
# Measurement Depth/Range:,Surface,,,
# Sampling Frequency:,3-hourly,,,
# Long Term Averaging Period:,2003-2020,,,
# Calculation Methodology:,,,,
# Data Source:,AFBI Northern Ireland,,,
# Contact Name (email):,Billy Hunter (billy.hunter@afbini.gov.uk),,,
# Notes:,"SBE56 sensor",,,
# Reference:,,,,
# DOI:,,,,
# Website:,,,,
Month,Temperature °C,SD,Min,Max
0.5,9.658284453,0.613575566,7.6,11.4014125
1.5,8.552860847,0.52613847,7.3625,9.6875
2.5,8.019233973,0.563995184,6.225,10.0345
3.5,8.762991204,0.880549545,6.0625,11.4
4.5,10.5321043,1.083373914,8.225,14.018
5.5,13.12935618,1.294452474,9.7981,16.838
6.5,14.74427177,1.193121548,11.8375,18.05
7.5,15.139123,0.655592307,13.2027875,17.5125
8.5,14.55969771,0.514075003,13.3,16.1
9.5,13.78420625,0.373384056,12.85,15.05
10.5,12.80747983,0.55551133,11.4,14.25
11.5,11.20226932,0.690569997,9,13.275
Measured Data for year 2025,,,,
Month,Temperature °C,,,
0.5,9.881792917,,,
1.5,8.680960552,,,
2.5,8.177936388,,,
3.5,8.119755455,,,
4.5,8.526586264,,,
5.5,9.229454351,,,
6.5,10.2990995,,,
7.5,12.0895566,,,
8.5,13.94334722,,,
9.5,14.22487903,,,
10.5,13.63416667,,,
11.5,12.16197581,,,
