# Index:,NWES_007,,,,,,,,,,
# Station Description:,North Sea SST,,,,,,,,,,
# Region Code:,NWES,,,,,,,,,,
# Latitude:,55.99 N,,,,,,,,,,
# Longitude:,3.201 E,,,,,,,,,,
# Detailed Location (WKT):,"POLYGON((-3.95 51.17, 10.36 51.17, 10.36 60.81, -3.95 60.81, -3.95 51.17))",,,,,,,,,,
# Measurement Depth/Range:,Surface,,,,,,,,,,
# Sampling Frequency:,,,,,,,,,,,
# Data Source:,BSH - German Federal Maritime and Hydrographic Agency,,,,,,,,,,
# Contact Name (email):,Dagmar Kieke (dagmar.kieke@bsh.de),,,,,,,,,,
# Notes:,,,,,,,,,,,
# Reference:,"Loewe",,,,,,,,,,
# DOI:,,,,,,,,,,,
# Website:,https://www.bsh.de/EN/DATA/Climate-and-Sea/Sea_temperatures/Sea_surface_temperatures/sea_surface_temperatures_node.html,,,,,,,,,,
Decimal Year,Temperature °C,,,,,,,,,,
1969.04167,6.51,,,,,,,,,,
1969.12500,5.44,,,,,,,,,,
1969.20833,4.45,,,,,,,,,,
1969.29167,5.50,,,,,,,,,,
1969.37500,7.88,,,,,,,,,,
1969.45833,12.92,,,,,,,,,,
1969.54167,14.11,,,,,,,,,,
1969.62500,16.13,,,,,,,,,,
1969.70833,14.29,,,,,,,,,,
1969.79167,12.09,,,,,,,,,,
1969.87500,9.83,,,,,,,,,,
1969.95833,7.24,,,,,,,,,,
1970.04167,5.58,,,,,,,,,,
1970.12500,4.79,,,,,,,,,,
1970.20833,4.78,,,,,,,,,,
1970.29167,5.59,,,,,,,,,,
1970.37500,8.17,,,,,,,,,,
1970.45833,13.08,,,,,,,,,,
1970.54167,13.34,,,,,,,,,,
1970.62500,14.65,,,,,,,,,,
1970.70833,13.51,,,,,,,,,,
1970.79167,11.66,,,,,,,,,,
1970.87500,9.49,,,,,,,,,,
1970.95833,8.10,,,,,,,,,,
1971.04167,6.55,,,,,,,,,,
1971.12500,6.10,,,,,,,,,,
1971.20833,5.66,,,,,,,,,,
1971.29167,6.46,,,,,,,,,,
1971.37500,9.21,,,,,,,,,,
1971.45833,11.62,,,,,,,,,,
1971.54167,14.29,,,,,,,,,,
1971.62500,15.06,,,,,,,,,,
1971.70833,14.29,,,,,,,,,,
1971.79167,12.51,,,,,,,,,,
1971.87500,9.85,,,,,,,,,,
1971.95833,8.48,,,,,,,,,,
1972.04167,6.50,,,,,,,,,,
1972.12500,5.51,,,,,,,,,,
1972.20833,5.58,,,,,,,,,,
1972.29167,6.79,,,,,,,,,,
1972.37500,9.14,,,,,,,,,,
1972.45833,11.44,,,,,,,,,,
1972.54167,14.63,,,,,,,,,,
1972.62500,14.76,,,,,,,,,,
1972.70833,13.55,,,,,,,,,,
1972.79167,11.70,,,,,,,,,,
1972.87500,9.79,,,,,,,,,,
1972.95833,8.23,,,,,,,,,,
1973.04167,6.92,,,,,,,,,,
1973.12500,6.47,,,,,,,,,,
1973.20833,6.53,,,,,,,,,,
1973.29167,7.04,,,,,,,,,,
1973.37500,8.88,,,,,,,,,,
1973.45833,12.24,,,,,,,,,,
1973.54167,15.05,,,,,,,,,,
1973.62500,14.89,,,,,,,,,,
1973.70833,14.26,,,,,,,,,,
1973.79167,11.83,,,,,,,,,,
1973.87500,9.55,,,,,,,,,,
1973.95833,7.01,,,,,,,,,,
1974.04167,6.54,,,,,,,,,,
1974.12500,6.40,,,,,,,,,,
1974.20833,6.18,,,,,,,,,,
1974.29167,7.44,,,,,,,,,,
1974.37500,9.44,,,,,,,,,,
1974.45833,12.50,,,,,,,,,,
1974.54167,14.20,,,,,,,,,,
1974.62500,15.19,,,,,,,,,,
1974.70833,13.90,,,,,,,,,,
1974.79167,11.36,,,,,,,,,,
1974.87500,9.27,,,,,,,,,,
1974.95833,7.96,,,,,,,,,,
1975.04167,7.39,,,,,,,,,,
1975.12500,6.57,,,,,,,,,,
1975.20833,6.24,,,,,,,,,,
1975.29167,6.42,,,,,,,,,,
1975.37500,8.55,,,,,,,,,,
1975.45833,11.95,,,,,,,,,,
1975.54167,14.73,,,,,,,,,,
1975.62500,16.76,,,,,,,,,,
1975.70833,14.46,,,,,,,,,,
1975.79167,11.93,,,,,,,,,,
1975.87500,10.14,,,,,,,,,,
1975.95833,8.24,,,,,,,,,,
1976.04167,6.85,,,,,,,,,,
1976.12500,5.65,,,,,,,,,,
1976.20833,5.24,,,,,,,,,,
1976.29167,6.40,,,,,,,,,,
1976.37500,8.77,,,,,,,,,,
1976.45833,12.49,,,,,,,,,,
1976.54167,16.18,,,,,,,,,,
1976.62500,16.27,,,,,,,,,,
1976.70833,14.10,,,,,,,,,,
1976.79167,12.38,,,,,,,,,,
1976.87500,9.79,,,,,,,,,,
1976.95833,7.84,,,,,,,,,,
1977.04167,6.15,,,,,,,,,,
1977.12500,5.54,,,,,,,,,,
1977.20833,6.02,,,,,,,,,,
1977.29167,6.41,,,,,,,,,,
1977.37500,9.30,,,,,,,,,,
1977.45833,11.34,,,,,,,,,,
1977.54167,13.90,,,,,,,,,,
1977.62500,14.93,,,,,,,,,,
1977.70833,13.21,,,,,,,,,,
1977.79167,11.89,,,,,,,,,,
1977.87500,9.87,,,,,,,,,,
1977.95833,7.86,,,,,,,,,,
1978.04167,6.52,,,,,,,,,,
1978.12500,5.07,,,,,,,,,,
1978.20833,5.34,,,,,,,,,,
1978.29167,6.23,,,,,,,,,,
1978.37500,8.95,,,,,,,,,,
1978.45833,11.90,,,,,,,,,,
1978.54167,13.04,,,,,,,,,,
1978.62500,14.48,,,,,,,,,,
1978.70833,12.60,,,,,,,,,,
1978.79167,11.54,,,,,,,,,,
1978.87500,10.28,,,,,,,,,,
1978.95833,7.44,,,,,,,,,,
1979.04167,5.20,,,,,,,,,,
1979.12500,3.95,,,,,,,,,,
1979.20833,4.46,,,,,,,,,,
1979.29167,5.61,,,,,,,,,,
1979.37500,7.44,,,,,,,,,,
1979.45833,11.11,,,,,,,,,,
1979.54167,13.14,,,,,,,,,,
1979.62500,14.31,,,,,,,,,,
1979.70833,13.21,,,,,,,,,,
1979.79167,11.42,,,,,,,,,,
1979.87500,9.13,,,,,,,,,,
1979.95833,7.83,,,,,,,,,,
1980.04167,6.06,,,,,,,,,,
1980.12500,5.21,,,,,,,,,,
1980.20833,5.36,,,,,,,,,,
1980.29167,6.46,,,,,,,,,,
1980.37500,9.17,,,,,,,,,,
1980.45833,12.93,,,,,,,,,,
1980.54167,13.84,,,,,,,,,,
1980.62500,15.02,,,,,,,,,,
1980.70833,13.75,,,,,,,,,,
1980.79167,11.66,,,,,,,,,,
1980.87500,8.93,,,,,,,,,,
1980.95833,7.17,,,,,,,,,,
1981.04167,5.99,,,,,,,,,,
1981.12500,5.20,,,,,,,,,,
1981.20833,5.49,,,,,,,,,,
1981.29167,6.53,,,,,,,,,,
1981.37500,8.99,,,,,,,,,,
1981.45833,11.42,,,,,,,,,,
1981.54167,13.78,,,,,,,,,,
1981.62500,14.77,,,,,,,,,,
1981.70833,14.29,,,,,,,,,,
1981.79167,11.44,,,,,,,,,,
1981.87500,9.10,,,,,,,,,,
1981.95833,6.54,,,,,,,,,,
1982.04167,5.11,,,,,,,,,,
1982.12500,4.94,,,,,,,,,,
1982.20833,5.49,,,,,,,,,,
1982.29167,6.62,,,,,,,,,,
1982.37500,8.83,,,,,,,,,,
1982.45833,12.77,,,,,,,,,,
1982.54167,14.95,,,,,,,,,,
1982.62500,15.41,,,,,,,,,,
1982.70833,13.66,,,,,,,,,,
1982.79167,12.12,,,,,,,,,,
1982.87500,9.99,,,,,,,,,,
1982.95833,8.06,,,,,,,,,,
1983.04167,7.15,,,,,,,,,,
1983.12500,5.60,,,,,,,,,,
1983.20833,5.74,,,,,,,,,,
1983.29167,6.64,,,,,,,,,,
1983.37500,8.84,,,,,,,,,,
1983.45833,11.49,,,,,,,,,,
1983.54167,14.45,,,,,,,,,,
1983.62500,15.22,,,,,,,,,,
1983.70833,13.77,,,,,,,,,,
1983.79167,11.69,,,,,,,,,,
1983.87500,9.67,,,,,,,,,,
1983.95833,7.87,,,,,,,,,,
1984.04167,6.40,,,,,,,,,,
1984.12500,5.37,,,,,,,,,,
1984.20833,5.14,,,,,,,,,,
1984.29167,6.48,,,,,,,,,,
1984.37500,8.66,,,,,,,,,,
1984.45833,11.33,,,,,,,,,,
1984.54167,13.46,,,,,,,,,,
1984.62500,15.59,,,,,,,,,,
1984.70833,14.02,,,,,,,,,,
1984.79167,12.10,,,,,,,,,,
1984.87500,10.30,,,,,,,,,,
1984.95833,8.49,,,,,,,,,,
1985.04167,6.08,,,,,,,,,,
1985.12500,4.80,,,,,,,,,,
1985.20833,4.87,,,,,,,,,,
1985.29167,6.05,,,,,,,,,,
1985.37500,8.10,,,,,,,,,,
1985.45833,11.67,,,,,,,,,,
1985.54167,14.26,,,,,,,,,,
1985.62500,14.40,,,,,,,,,,
1985.70833,13.06,,,,,,,,,,
1985.79167,12.24,,,,,,,,,,
1985.87500,9.41,,,,,,,,,,
1985.95833,7.53,,,,,,,,,,
1986.04167,6.13,,,,,,,,,,
1986.12500,4.61,,,,,,,,,,
1986.20833,4.36,,,,,,,,,,
1986.29167,5.40,,,,,,,,,,
1986.37500,8.09,,,,,,,,,,
1986.45833,11.42,,,,,,,,,,
1986.54167,13.76,,,,,,,,,,
1986.62500,14.26,,,,,,,,,,
1986.70833,12.48,,,,,,,,,,
1986.79167,11.59,,,,,,,,,,
1986.87500,9.61,,,,,,,,,,
1986.95833,8.20,,,,,,,,,,
1987.04167,5.65,,,,,,,,,,
1987.12500,4.86,,,,,,,,,,
1987.20833,4.57,,,,,,,,,,
1987.29167,6.10,,,,,,,,,,
1987.37500,8.30,,,,,,,,,,
1987.45833,11.02,,,,,,,,,,
1987.54167,13.90,,,,,,,,,,
1987.62500,13.87,,,,,,,,,,
1987.70833,13.74,,,,,,,,,,
