# Index:,NWES_008,
# Station Description:,Fair Isle Current Water (Waters entering North Sea from Atlantic),
# Region Code:,NWES,
# Latitude:,59 N,
# Longitude:,2 W,
# Detailed Location (WKT):,"LINESTRING(-2.233 59.283,-1.933 59.283)",
# Measurement Depth/Range:,0-100 m,
# Sampling Frequency:,,
# Data Source:,SGMD - Scottish Government Marine Directorate - Aberdeen - UK,
# Contact Name (email):,Bee Berx & Berit Rabe (MD.Oceanography@gov.scot),
# Notes:,"Mean T and S in first two stations on Jonsis Line",
# Reference:,"The Scottish Ocean Climate Status Report. Hughes S.L. (ed.) Marine Scotland Report.",
# DOI:,,
# Website:,,
Decimal Year,Temperature °C,Salinity
1960.791,11.68,34.975
1960.955,9.31,34.906
1961.675,12.24,34.888
1962.733,11.37,35.134
1968.493,9.9,34.769
1969.484,9.81,34.689
1970.478,9.79,34.852
1970.807,11.13,34.873
1971.437,9.57,34.893
1972.392,8.55,35.016
1972.51,10.39,34.746
1972.755,11.6,34.881
1973.336,7.46,35.198
1973.434,8.77,34.893
1973.862,10.1,34.956
1974.092,7.31,34.797
1974.511,11.07,34.839
1974.621,12.35,34.852
1975.138,6.75,34.701
1975.341,7.11,34.767
1975.497,9.78,34.922
1975.859,10.99,34.916
1975.968,8.82,34.984
1976.57,12.07,34.861
1976.649,13.37,34.88
1977.497,9.78,34.592
1977.623,11.25,34.708
1977.947,8.69,34.594
1977.96,8.59,34.59
1978.445,9.01,34.572
1978.642,11.5,34.729
1978.949,8.44,34.656
1979.519,9.83,34.611
1980.023,7.67,34.715
1980.332,7.47,34.8
1980.493,10.21,34.744
1980.564,10.66,34.914
1980.605,11.2,34.808
1980.859,10.24,34.74
1980.892,9.58,34.692
1981.475,9.87,34.765
1981.867,9.63,34.637
1982.316,7.14,34.534
1982.642,12.42,34.793
1982.842,10.79,34.693
1983.136,6.56,35.048
1983.262,6.9,35.054
1983.338,7.12,34.955
1983.64,12.23,34.82
1984.124,6.59,34.863
1984.288,6.49,34.807
1984.54,10.84,34.849
1984.602,11.74,34.971
1984.728,12.07,35.091
1984.889,9.84,34.931
1985.322,6.8,34.754
1985.544,10.65,34.9
1985.612,12.02,34.761
1985.84,10.88,34.7
1986.056,7.26,34.604
1986.322,6.78,34.898
1986.64,11.82,34.773
1986.727,11.09,34.932
1988.059,8.41,34.837
1988.485,10.18,34.589
1988.758,12.07,34.684
1989.059,8.64,34.694
1989.379,8.72,34.99
1989.489,10.47,34.945
1989.758,12.14,34.93
1989.963,9.34,34.962
1990.322,7.73,34.702
1990.451,9.53,34.832
1990.708,12.97,35.046
1991.292,7.25,34.912
1991.752,12.87,34.975
1991.823,11.47,35.036
1992.455,10.12,35.05
1992.742,12.29,34.85
1992.952,8.48,34.946
1993.407,8.52,34.975
1993.733,11.47,34.985
1993.96,8.21,34.927
1994.267,5.99,34.64
1995.903,10.26,34.764
1996.411,8.68,34.911
1996.791,11.88,34.905
1997.221,7.24,34.831
1997.396,8.67,35.142
1997.845,11.64,35.05
1998.218,7.9,34.699
1998.758,12.17,34.964
1999.319,7.76,35.025
1999.705,12.79,34.889
1999.941,9.8,34.778
2000.354,8.15,34.989
2000.764,12.56,34.829
2000.936,9.99,34.667
2001.341,7.46,34.602
2001.766,12.37,34.804
2001.936,9.73,34.691
2002.371,9.14,34.999
2002.73,13.31,34.986
2002.936,9.89,34.832
2003.289,8.25,34.833
2003.711,14.06,35.063
2003.938,10.34,35.114
2004.365,8.9,34.975
2004.764,12.63,35.047
2004.936,9.96,34.909
2005.349,8.24,34.948
2005.738,12.73,34.934
2005.944,9.78,34.964
2006.311,7.48,34.886
2006.758,13.26,34.985
2006.955,10.05,34.678
2007.319,8.68,34.72
2007.755,11.91,34.884
2007.941,9.64,34.975
2008.348,8.33,34.856
2008.739,13.07,34.995
2008.928,9.33,35.011
2009.412,9.68,34.779
2009.752,13.02,34.796
2009.925,10.54,34.833
2010.371,8.13,34.985
2011.368,9.23,34.789
2011.763,12.47,34.857
2011.947,9.56,35.014
2012.357,8.36,35.301
2012.747,12.02,34.951
2013.938,9.31,34.882
2014.314,8.06,34.563
2014.738,12.74,34.754
2014.936,10.5,34.691
2015.319,7.96,34.952
2015.719,12.36,34.966
2015.944,9.71,34.904
2016.318,7.77,34.703
2016.739,13.16,34.714
2016.944,10.32,34.688
2017.386,9.21,34.930
2017.764,12.85,34.833
2017.942,9.28,34.964
2018.337,7.54,34.621
2018.764,11.93,34.693
2018.940,9.57,34.745
2019.304,8.24,34.695
2019.792,12.22,34.640
2019.948,9.23,34.709
2020.781,12.25,34.873
2020.964,9.64,34.608
2021.332,7.81,34.519
2021.770,12.69,34.635
2021.942,9.53,34.925
2022.326,8.19,34.812
2022.764,13.00,34.920
2022.942,10.39,34.744
2023.723,13.56,34.826
2023.942,9.52,34.860
2024.352,8.88,34.646
2024.743,12.30,34.926
2024.932,10.13,34.910
