# Index:,NWES_009,,,,,
# Station Description:,Felixstowe-Gabbard - 52N - Ferry merged Smartbuoy,,,,,
# Region Code:,NWES,,,,,
# Latitude:,52 N,,,,,
# Longitude:,2 E,,,,,
# Detailed Location (WKT):,,,,,,
# Measurement Depth/Range:,Surface,,,,,
# Sampling Frequency:,,,,,,
# Long Term Averaging Period:,1991-2020,1991-2020,,,,
# Long Term Mean:,12.45,34.85,,,,
# Long Term Standard Deviation:,0.93,0.22,,,,
# Calculation Methodology:,"Merged Ferry Route and Smartbuoy annual Temperature anomaly series.,",,,,,
# Data Source:,CEFAS - Centre for Environment Fisheries and Aquaculture Science - UK,,,,,
# Contact Name (email):,Lianne Harrison (lianne.harrison@cefas.gov.uk),,,,,
# Notes:,"1971-2002 - West Gabbard Smartbuoy location reconstructed from Harwich to Rotterdam Station 3 monthly timeseries by calibration during an overlapping period 2002-2012. 2003-onwards annual average anomaly West Gabbard Smartbuoy.",,,,,
# Reference:,,,,,,
# DOI:,,,,,,
# Website:,,,,,,
Year,Temperature °C,Temperature Anomaly °C,Temperature Anomaly Normalised °C,Salinity,Salinity Anomaly,Salinity Anomaly Normalised
1971,,-1.13,-1.32,,-0.08,-0.41
1972,,-1.06,-1.42,,0.13,0.59
1973,,-0.95,-1.13,,0.18,0.75
1974,,-1.09,-1.49,,0.19,0.84
1975,,-1.02,-1.14,,-0.13,-0.63
1976,,-0.39,-0.35,,0.1,0.46
1977,,-0.96,-1.24,,-0.01,-0.12
1978,,-1.61,-2.03,,-0.2,-0.92
1979,,-1.82,-1.89,,-0.13,-0.61
1980,,-1.78,-1.89,,-0.17,-0.83
1981,,-1.14,-1.26,,-0.31,-1.45
1982,,,,,,
1983,,-1.37,-1.49,,-0.2,-0.93
1984,,-0.46,-0.61,,-0.12,-0.57
1985,,-1.73,-1.92,,-0.03,-0.12
1986,,-1.59,-1.84,,-0.1,-0.48
1987,,-1.09,-1.17,,-0.2,-0.94
1988,,-0.68,-0.94,,-0.08,-0.35
1989,,0.82,0.95,,0.02,0.07
1990,,0.51,0.43,,0.15,0.72
1991,,-0.34,-0.29,,0.16,0.75
1992,,0.72,0.7,,0.14,0.66
1993,,1,0.95,,0.09,0.4
1994,,0.23,0.18,,-0.18,-0.84
1995,,0.15,0.17,,-0.18,-0.83
1996,,-1.01,-1.19,,0,-0.03
1997,,-0.23,-0.11,,0.11,0.53
1998,,-0.17,-0.38,,0.2,0.93
1999,,0.18,0.28,,0.01,0.06
2000,,0.35,0.31,,-0.02,-0.15
2001,,0.08,0.18,,-0.3,-1.39
2002,,0.51,0.51,,-0.07,-0.27
2003,,-0.17,-0.07,,-0.14,-0.59
2004,,-0.2,-0.22,,-0.03,-0.12
2005,,-0.31,-0.25,,-0.04,-0.14
2006,,-0.01,0.12,,0.08,0.35
2007,,0.41,0.28,,-0.11,-0.57
2008,,-0.27,-0.41,,0.1,0.46
2009,,-0.08,0.01,,0.08,0.38
2010,,-1.38,-1.4,,-0.31,-1.41
2011,,-0.3,-0.33,,0.04,0.19
2012,,-0.68,-0.78,,0.22,1.01
2013,,-1.08,-1.1,,-0.18,-0.84
2014,,1.04,1.13,,-0.01,-0.05
2015,,-0.05,-0.1,,0.08,0.37
2016,,0.49,0.57,,-0.06,-0.27
2017,,0.48,0.49,,0.1,0.43
2018,,0.04,0.15,,0.15,0.67
2019,,0.46,0.48,,0.09,0.42
2020,,0.52,0.52,,-0.08,-0.33
2021,,-0.4,-0.44,,-0.48,-2.22
2022,,1.07,1.41,,-0.22,-1
2023,,0.49,0.45,,-0.03,-0.13
2024,,1.14,1.24,,,
