# Index:,NWES_010,,
# Station Description:,Modelled North Sea Inflow,,
# Region Code:,NWES,,
# Latitude:,59 N,,
# Longitude:,1 E,,
# Detailed Location (WKT):,,,
# Measurement Depth/Range:,Depth Averaged,,
# Sampling Frequency:,Monthly Mean Modelled Output,,
# Data Source:,IMR - Institute of Marine Research - Norway,,
# Contact Name (email):,Jon Albretsen (jon.albretsen@hi.no),,
# Notes:,"Modelled Volume Transport between Orkney - Scotland and Utsira - Norway (-Inflow is flow in a southwards direction. +Outflow is flow in a northward direction. +NetFlow is flow in a northward direction) Units Svedrup 10^6m^3/s",,
# Reference:,,,
# DOI:,,,
# Website:,,,
Decimal Year,Inflow (Sv),Outflow (Sv),Net Flow (Sv)
1985.0417,-0.769,0.858,0.089
1985.1250,-0.651,1.347,0.696
1985.2083,-0.641,1.001,0.360
1985.2917,-0.627,0.925,0.298
1985.3750,-0.527,0.876,0.349
1985.4583,-0.691,0.915,0.223
1985.5417,-0.767,1.327,0.560
1985.6250,-0.841,1.540,0.699
1985.7083,-1.004,1.528,0.524
1985.7917,-1.104,1.830,0.726
1985.8750,-0.885,1.023,0.138
1985.9583,-0.744,1.396,0.653
1986.0417,-0.631,1.385,0.754
1986.1250,-0.616,0.821,0.205
1986.2083,-0.609,1.704,1.094
1986.2917,-0.535,0.756,0.221
1986.3750,-0.655,1.411,0.756
1986.4583,-0.783,1.120,0.337
1986.5417,-0.876,1.449,0.573
1986.6250,-0.918,1.104,0.186
1986.7083,-1.063,1.526,0.464
1986.7917,-1.116,1.984,0.868
1986.8750,-0.965,2.160,1.195
1986.9583,-0.945,1.825,0.880
1987.0417,-0.701,1.140,0.439
1987.1250,-0.648,1.071,0.423
1987.2083,-0.647,1.241,0.595
1987.2917,-0.661,1.142,0.481
1987.3750,-0.765,0.952,0.187
1987.4583,-0.727,0.977,0.251
1987.5417,-0.851,1.152,0.301
1987.6250,-0.859,1.182,0.323
1987.7083,-0.998,1.808,0.810
1987.7917,-0.875,1.634,0.759
1987.8750,-0.905,1.305,0.400
1987.9583,-0.719,1.287,0.568
1988.0417,-0.699,1.379,0.680
1988.1250,-0.722,1.149,0.427
1988.2083,-0.404,0.899,0.495
1988.2917,-0.697,0.978,0.280
1988.3750,-0.651,0.997,0.346
1988.4583,-0.899,1.199,0.301
1988.5417,-0.665,1.209,0.544
1988.6250,-0.839,1.476,0.637
1988.7083,-1.074,1.767,0.692
1988.7917,-0.885,1.352,0.467
1988.8750,-0.858,1.388,0.530
1988.9583,-0.885,1.757,0.872
1989.0417,-1.235,2.558,1.322
1989.1250,-1.038,2.215,1.178
1989.2083,-0.684,1.671,0.988
1989.2917,-0.539,0.813,0.274
1989.3750,-0.774,1.256,0.482
1989.4583,-0.690,1.087,0.397
1989.5417,-0.801,1.194,0.393
1989.6250,-0.852,1.569,0.718
1989.7083,-1.089,1.847,0.758
1989.7917,-1.014,1.619,0.605
1989.8750,-0.847,1.279,0.432
1989.9583,-0.537,1.100,0.563
1990.0417,-1.046,2.389,1.342
1990.1250,-0.951,2.481,1.530
1990.2083,-1.069,2.301,1.232
1990.2917,-0.607,1.101,0.494
1990.3750,-0.747,0.956,0.210
1990.4583,-0.613,1.021,0.408
1990.5417,-0.821,1.253,0.431
1990.6250,-0.788,1.350,0.563
1990.7083,-0.953,1.514,0.561
1990.7917,-0.742,1.501,0.759
1990.8750,-0.606,1.029,0.423
1990.9583,-0.820,1.497,0.677
1991.0417,-0.792,1.880,1.088
1991.1250,-0.619,1.198,0.579
1991.2083,-0.516,1.009,0.493
1991.2917,-0.592,1.143,0.550
1991.3750,-0.899,1.214,0.315
1991.4583,-0.685,0.963,0.278
1991.5417,-0.712,1.155,0.443
1991.6250,-0.858,1.540,0.682
1991.7083,-0.963,1.604,0.641
1991.7917,-0.807,1.382,0.575
1991.8750,-0.770,1.676,0.906
1991.9583,-1.131,2.009,0.878
1992.0417,-0.979,1.865,0.886
1992.1250,-0.862,1.765,0.904
1992.2083,-0.888,1.339,0.451
1992.2917,-0.489,0.993,0.505
1992.3750,-0.709,1.225,0.516
1992.4583,-0.890,1.211,0.322
1992.5417,-0.802,1.272,0.470
1992.6250,-0.919,1.534,0.614
1992.7083,-0.877,1.643,0.767
1992.7917,-0.607,0.732,0.125
1992.8750,-0.828,1.797,0.970
1992.9583,-0.914,1.865,0.951
1993.0417,-1.210,3.061,1.852
1993.1250,-1.064,1.699,0.635
1993.2083,-0.773,1.610,0.837
1993.2917,-0.672,1.158,0.486
1993.3750,-0.697,0.883,0.186
1993.4583,-0.741,1.116,0.375
1993.5417,-0.782,1.279,0.497
1993.6250,-0.897,1.381,0.484
1993.7083,-0.781,1.056,0.276
1993.7917,-0.728,0.795,0.067
1993.8750,-0.670,1.529,0.859
1993.9583,-0.768,1.447,0.679
1994.0417,-0.765,1.756,0.991
1994.1250,-0.701,1.404,0.704
1994.2083,-0.744,1.978,1.234
1994.2917,-0.623,1.221,0.598
