# Index:,NWES_013,,,,,
# Station Description:,Western Channel Observatory (WCO) - E1 - UK,,,,,
# Region Code:,NWES,,,,,
# Latitude:,50.033 N,,,,,
# Longitude:,4.367 W,,,,,
# Detailed Location (WKT):,,,,,,
# Measurement Depth/Range:,0-40 m,,,,,
# Sampling Frequency:,,,,,,
# Long Term Averaging Period:,1991-2020,1991-2020,,,,
# Long Term Mean:,12.80,35.26,,,,
# Long Term Standard Deviation:,0.76,0.06,,,,
# Calculation Methodology:,,,,,,
# Data Source:,Marine Biological Association and Plymouth Marine Laboratory - UK,,,,,
# Contact Name (email):,Tim J. Smyth (tjsm@pml.ac.uk),,,,,
# Notes:,"Data from CTD profiles. Different instruments used. Later period using SeaBird SBE19+",,,,,
# Reference:,,,,,,
# DOI:,,,,,,
# Website:,,,,,,
Year,Temperature °C,Temperature Anomaly °C,Temperature Anomaly Normalised °C,Salinity,Salinity Anomaly,Salinity Anomaly Normalised
1903,11.21,-1.59,-2.09,35.40,0.14,2.36
1904,11.33,-1.47,-1.94,35.27,0.01,0.19
1905,12.97,0.17,0.23,35.35,0.09,1.48
1906,11.49,-1.31,-1.72,35.27,0.01,0.19
1907,11.43,-1.37,-1.80,35.30,0.04,0.73
1908,11.73,-1.07,-1.40,35.23,-0.03,-0.52
1909,11.62,-1.18,-1.55,35.25,-0.01,-0.12
1910,,,,,,
1911,,,,,,
1912,,,,,,
1913,,,,,,
1914,,,,,,
1915,,,,,,
1916,,,,,,
1917,,,,,,
1918,,,,,,
1919,,,,,,
1920,,,,,,
1921,13.86,1.06,1.39,35.21,-0.05,-0.77
1922,12.10,-0.70,-0.92,35.31,0.05,0.81
1923,12.00,-0.80,-1.06,35.21,-0.05,-0.91
1924,11.57,-1.23,-1.62,35.12,-0.14,-2.35
1925,11.70,-1.10,-1.45,35.10,-0.16,-2.65
1926,12.18,-0.62,-0.82,35.14,-0.12,-2.03
1927,12.19,-0.61,-0.80,35.19,-0.07,-1.12
1928,12.37,-0.43,-0.56,35.03,-0.23,-3.90
1929,11.93,-0.87,-1.15,35.25,-0.01,-0.19
1930,11.90,-0.90,-1.19,35.14,-0.12,-1.92
1931,11.72,-1.08,-1.42,35.13,-0.13,-2.10
1932,12.15,-0.65,-0.85,35.17,-0.09,-1.55
1933,12.22,-0.58,-0.76,35.13,-0.13,-2.17
1934,11.72,-1.08,-1.42,35.24,-0.02,-0.34
1935,12.11,-0.69,-0.90,35.23,-0.03,-0.48
1936,12.34,-0.46,-0.60,34.81,-0.45,-7.42
1937,13.16,0.36,0.47,35.14,-0.12,-2.07
1938,11.37,-1.43,-1.88,35.26,0.00,0.05
1939,11.28,-1.52,-2.00,35.23,-0.03,-0.43
1940,,,,,,
1941,,,,,,
1942,,,,,,
1943,,,,,,
1944,,,,,,
1945,,,,,,
1946,12.92,0.12,0.16,35.26,0.01,0.08
1947,12.23,-0.57,-0.75,35.15,-0.11,-1.78
1948,12.46,-0.34,-0.45,35.35,0.09,1.53
1949,12.84,0.04,0.06,35.31,0.05,0.82
1950,12.11,-0.69,-0.91,35.26,0.00,0.04
1951,11.42,-1.38,-1.82,35.20,-0.06,-1.05
1952,11.72,-1.08,-1.42,35.19,-0.07,-1.14
1953,11.47,-1.33,-1.75,35.21,-0.05,-0.81
1954,11.27,-1.53,-2.01,35.27,0.01,0.20
1955,11.60,-1.20,-1.58,35.10,-0.16,-2.68
1956,11.71,-1.09,-1.43,35.37,0.11,1.84
1957,12.12,-0.68,-0.89,35.22,-0.04,-0.65
1958,12.16,-0.64,-0.84,35.23,-0.03,-0.58
1959,12.83,0.03,0.04,35.18,-0.08,-1.41
1960,12.46,-0.34,-0.44,35.17,-0.09,-1.50
1961,12.65,-0.15,-0.19,35.20,-0.06,-1.04
1962,11.62,-1.18,-1.56,35.28,0.02,0.38
1963,10.69,-2.11,-2.77,35.29,0.03,0.52
1964,11.47,-1.33,-1.76,35.29,0.03,0.44
1965,11.06,-1.74,-2.29,35.43,0.17,2.82
1966,12.11,-0.69,-0.91,35.16,-0.10,-1.71
1967,10.93,-1.87,-2.46,35.24,-0.02,-0.33
1968,11.75,-1.05,-1.39,35.16,-0.10,-1.72
1969,12.35,-0.45,-0.60,35.13,-0.13,-2.20
1970,11.46,-1.34,-1.76,35.30,0.04,0.63
1971,11.84,-0.96,-1.27,35.25,-0.01,-0.12
1972,11.30,-1.50,-1.97,35.26,0.00,0.00
1973,12.15,-0.65,-0.85,35.32,0.06,0.97
1974,11.95,-0.85,-1.12,35.24,-0.02,-0.36
1975,11.86,-0.94,-1.23,35.22,-0.04,-0.66
1976,11.75,-1.05,-1.39,35.31,0.05,0.83
1977,11.37,-1.43,-1.88,35.14,-0.12,-2.06
1978,11.80,-1.00,-1.31,35.16,-0.10,-1.63
1979,11.63,-1.17,-1.54,35.22,-0.04,-0.62
1980,11.66,-1.14,-1.50,35.17,-0.09,-1.53
1981,11.89,-0.91,-1.20,35.10,-0.16,-2.69
1982,12.30,-0.50,-0.65,34.99,-0.27,-4.48
1983,11.41,-1.39,-1.83,35.10,-0.16,-2.59
1984,12.07,-0.73,-0.96,35.18,-0.08,-1.30
1985,12.04,-0.76,-1.01,35.12,-0.14,-2.37
1986,,,,,,
1987,,,,,,
1988,,,,,,
1989,,,,,,
1990,,,,,,
1991,,,,,,
1992,,,,,,
1993,,,,,,
1994,,,,,,
1995,,,,,,
1996,,,,,,
1997,,,,,,
1998,,,,,,
1999,,,,,,
2000,,,,,,
2001,,,,,,
2002,13.73,0.93,1.22,35.31,0.05,0.87
2003,12.51,-0.29,-0.38,35.13,-0.13,-2.19
2004,14.28,1.48,1.95,35.22,-0.04,-0.74
2005,12.62,-0.18,-0.24,35.32,0.06,0.94
2006,10.71,-2.09,-2.76,35.29,0.03,0.52
2007,13.36,0.56,0.74,35.31,0.05,0.90
2008,12.80,-0.00,-0.00,35.24,-0.02,-0.28
2009,11.82,-0.98,-1.29,35.28,0.02,0.32
2010,12.45,-0.35,-0.46,35.25,-0.01,-0.15
2011,12.47,-0.33,-0.43,35.33,0.07,1.25
2012,12.98,0.18,0.23,35.28,0.02,0.35
2013,12.19,-0.61,-0.81,35.28,0.02,0.40
2014,13.08,0.28,0.37,35.25,-0.01,-0.17
2015,12.67,-0.13,-0.18,35.34,0.08,1.39
2016,12.60,-0.20,-0.26,35.29,0.03,0.42
2017,13.02,0.22,0.29,35.34,0.08,1.28
2018,12.95,0.15,0.20,35.18,-0.08,-1.39
2019,12.58,-0.22,-0.29,35.21,-0.05,-0.76
2020,13.57,0.77,1.01,35.15,-0.11,-1.89
2021,12.61,-0.19,-0.25,35.07,-0.19,-3.11
2022,13.24,0.44,0.58,35.20,-0.06,-1.03
2023,13.28,0.48,0.63,35.22,-0.04,-0.66
2024,13.34,0.54,0.71,35.17,-0.09,-1.49
2025,13.65,0.85,1.11,35.00,-0.26,-4.29									  
