# Index:,NWES_013,,,,,,,
# Station Description:,Western Channel Observatory (WCO) - E1 - UK,,,,,,,
# Region Code:,NWES,,,,,,,
# Latitude:,50.033 N,,,,,,,
# Longitude:,4.367 W,,,,,,,
# Detailed Location (WKT):,,,,,,,,
# Measurement Depth/Range:,0-40 m,,,,,,,
# Sampling Frequency:,,,,,,,,
# Long Term Averaging Period:,1991-2020,,,,,,,
# Calculation Methodology:,,,,,,,,
# Data Source:,Marine Biological Association and Plymouth Marine Laboratory - UK,,,,,,,
# Contact Name (email):,Tim J. Smyth (tjsm@pml.ac.uk),,,,,,,
# Notes:,"Data from CTD profiles. Different instruments used. Later period using SeaBird SBE19+",,,,,,,
# Reference:,,,,,,,,
# DOI:,,,,,,,,
# Website:,,,,,,,,
Month,Temperature °C,SD,Min,Max,Salinity,SD,Min,Max
0.5,10.76,0.71,9.36,12.03,35.25,0.12,34.66,35.40
1.5,9.90,0.53,9.13,11.09,35.23,0.11,34.95,35.39
2.5,9.37,0.74,7.64,10.80,35.25,0.10,34.99,35.48
3.5,10.19,0.51,8.94,11.13,35.22,0.13,34.51,35.55
4.5,11.24,0.75,9.46,13.20,35.25,0.09,35.03,35.40
5.5,13.01,1.55,10.57,17.65,35.28,0.07,34.97,35.41
6.5,14.28,2.09,11.26,19.81,35.28,0.09,35.11,35.48
7.5,15.03,2.00,12.15,19.44,35.29,0.10,34.95,35.45
8.5,15.37,1.20,13.10,17.99,35.27,0.14,34.44,35.44
9.5,14.63,0.52,13.34,15.70,35.27,0.11,35.03,35.43
10.5,13.62,0.57,12.59,15.00,35.26,0.14,34.51,35.47
11.5,12.11,0.61,11.10,13.35,35.22,0.13,34.71,35.44
Measured Data for year 2016,,,,,,,,
Month,Temperature °C,Salinity,,,,,,
0.177,12.03,35.27,,,,,,
0.629,11.11,35.28,,,,,,
1.603,10.61,35.28,,,,,,
2.242,9.87,35.23,,,,,,
2.694,9.56,35.16,,,,,,
3.150,9.87,35.23,,,,,,
3.617,10.15,35.27,,,,,,
4.113,10.47,35.25,,,,,,
4.532,11.41,35.39,,,,,,
5.050,12.31,35.34,,,,,,
5.683,12.77,35.30,,,,,,
6.177,13.13,35.28,,,,,,
6.597,14.56,35.26,,,,,,
7.274,14.30,35.27,,,,,,
7.726,15.39,35.28,,,,,,
8.183,15.19,35.25,,,,,,
8.650,15.48,35.30,,,,,,
9.339,15.27,35.33,,,,,,
9.790,15.02,35.31,,,,,,
10.750,13.43,35.35,,,,,,
11.177,12.77,35.36,,,,,,
Measured Data for year 2017,,,,,,,,
Month,Temperature °C,Salinity,,,,,,
0.113,11.90,35.34,,,,,,
0.532,11.36,35.35,,,,,,
1.554,10.28,35.39,,,,,,
2.468,10.19,35.27,,,,,,
3.183,10.41,35.24,,,,,,
3.617,10.91,35.32,,,,,,
4.081,11.27,35.40,,,,,,
5.017,13.00,35.42,,,,,,
5.883,14.78,35.33,,,,,,
6.597,15.36,35.33,,,,,,
7.242,14.70,35.31,,,,,,
7.694,14.93,35.31,,,,,,
8.617,15.02,35.33,,,,,,
9.081,14.88,35.33,,,,,,
9.823,14.50,35.33,,,,,,
10.083,14.58,35.33,,,,,,
10.450,14.10,35.34,,,,,,
10.950,13.23,35.34,,,,,,
11.597,11.95,35.38,,,,,,
Measured Data for year 2018,,,,,,,,
Month,Temperature °C,Salinity,,,,,,
0.306,11.08,35.38,,,,,,
1.054,10.08,35.28,,,,,,
2.177, 9.00,35.34,,,,,,
3.283, 9.45,35.31,,,,,,
3.783,10.31,35.29,,,,,,
4.726,11.73,35.26,,,,,,
5.150,13.16,35.21,,,,,,
5.617,12.72,35.16,,,,,,
6.081,14.95,35.08,,,,,,
6.758,15.42,34.98,,,,,,
7.210,15.56,35.04,,,,,,
7.661,14.66,35.03,,,,,,
8.117,15.56,35.09,,,,,,
8.817,14.74,35.07,,,,,,
9.274,14.39,35.19,,,,,,
9.726,14.67,35.19,,,,,,
11.113,12.72,35.12,,,,,,
Measured Data for year 2019,,,,,,,,
Month,Temperature °C,Salinity,,,,,,
0.274,11.52,35.18,,,,,,
0.919,10.79,35.20,,,,,,
1.411,10.21,35.20,,,,,,
2.597,10.16,35.10,,,,,,
3.050,10.42,35.10,,,,,,
3.550,10.37,35.10,,,,,,
4.048,11.00,35.09,,,,,,
4.661,11.69,35.24,,,,,,
5.117,12.79,35.20,,,,,,
5.583,13.14,35.22,,,,,,
6.048,14.05,35.32,,,,,,
6.532,15.32,35.34,,,,,,
7.403,15.25,35.26,,,,,,
7.887,16.25,35.34,,,,,,
8.317,15.46,35.33,,,,,,
10.183,13.98,35.25,,,,,,
11.113,12.42,35.23,,,,,,
11.532,11.68,35.15,,,,,,
Measured Data for year 2020,,,,,,,,
Month,Temperature °C,Salinity,,,,,,
0.661,10.66,35.12,,,,,,
2.597, 9.76,35.11,,,,,,
3.750,10.68,35.11,,,,,,
4.403,11.32,35.16,,,,,,
5.050,13.45,35.11,,,,,,
5.517,13.13,35.09,,,,,,
6.403,14.37,35.16,,,,,,
7.081,15.63,35.11,,,,,,
7.565,16.71,35.08,,,,,,
8.050,16.10,35.11,,,,,,
8.483,16.23,35.17,,,,,,
8.950,15.82,35.17,,,,,,
9.468,14.73,35.18,,,,,,
10.117,13.44,35.23,,,,,,
10.817,12.87,35.21,,,,,,
11.242,12.21,35.21,,,,,,
Measured Data for year 2021,,,,,,,,
Month,Temperature °C,Salinity,,,,,,
0.177,10.76,35.29,,,,,,
1.768, 9.18,34.95,,,,,,
2.274, 9.59,35.25,,,,,,
2.694, 9.73,35.26,,,,,,
3.217, 9.93,35.25,,,,,,
3.683,10.61,35.19,,,,,,
4.823,11.11,35.07,,,,,,
5.250,12.29,34.97,,,,,,
5.717,13.14,35.02,,,,,,
6.242,13.93,34.94,,,,,,
6.661,15.33,34.85,,,,,,
7.081,14.61,34.93,,,,,,
7.532,14.85,34.95,,,,,,
8.050,15.70,35.00,,,,,,
8.450,15.84,35.15,,,,,,
9.371,15.14,35.09,,,,,,
Measured Data for year 2022,,,,,,,,
Month,Temperature °C,Salinity,,,,,,
0.403,11.25,35.10,,,,,,
0.823,10.98,35.19,,,,,,
1.268,10.78,35.19,,,,,,
