# Index:,NWES_014,,,,,
# Station Description:,Central Skagerrak,,,,,
# Region Code:,NWES,,,,,
# Latitude:,58.133 N,,,,,
# Longitude:,9.183 E,,,,,
# Detailed Location (WKT):,,,,,,
# Measurement Depth/Range:,Surface-water,,,,,
# Sampling Frequency:,monthly,,,,,
# Long Term Averaging Period:,1991-2020,,,,,
# Long Term Mean:,10.113,31.549,,,,
# Long Term Standard Deviation:,4.405,1.692,,,,
# Calculation Methodology:,,,,,,
# Data Source:,IMR - Institute of Marine Research - Norway,,,,,
# Contact Name (email):,Jon Albretsen (jon.albretsen@hi.no),,,,,
# Notes:,"Central Skagerrak Surface Water",,,,,
# Reference:,,,,,,
# DOI:,,,,,,
# Website:,,,,,,
Year,Temperature °C,Temperature Anomaly °C,Temperature Anomaly Normalised °C,Salinity,Salinity Anomaly,Salinity Anomaly Normalised
1952,9.157,-0.970,-0.220,32.109,0.570,0.337
1953,8.794,-1.333,-0.303,31.481,-0.057,-0.034
1954,,,,,,
1955,,,,,,
1956,7.731,-2.396,-0.544,31.021,-0.518,-0.306
1957,,,,,,
1958,6.258,-3.869,-0.878,29.629,-1.909,-1.129
1959,10.675,0.548,0.124,31.485,-0.054,-0.032
1960,8.052,-2.075,-0.471,32.314,0.775,0.458
1961,,,,,,
1962,,,,,,
1963,7.420,-2.707,-0.615,29.542,-1.997,-1.180
1964,,,,,,
1965,8.432,-1.695,-0.385,32.014,0.475,0.281
1966,10.361,0.234,0.053,31.846,0.307,0.182
1967,9.232,-0.895,-0.203,31.770,0.232,0.137
1968,8.666,-1.461,-0.332,31.512,-0.026,-0.015
1969,,,,,,
1970,9.030,-1.097,-0.249,31.301,-0.238,-0.140
1971,8.306,-1.821,-0.413,31.641,0.102,0.060
1972,7.947,-2.180,-0.495,30.851,-0.687,-0.406
1973,9.110,-1.017,-0.231,32.383,0.845,0.499
1974,8.941,-1.186,-0.269,30.042,-1.496,-0.884
1975,10.710,0.583,0.132,31.321,-0.217,-0.128
1976,8.792,-1.335,-0.303,32.427,0.889,0.525
1977,8.971,-1.156,-0.263,32.179,0.641,0.379
1978,8.468,-1.659,-0.377,31.376,-0.163,-0.096
1979,6.997,-3.130,-0.711,31.231,-0.308,-0.182
1980,8.276,-1.851,-0.420,30.996,-0.542,-0.320
1981,8.364,-1.763,-0.400,31.041,-0.498,-0.294
1982,8.196,-1.931,-0.438,31.467,-0.072,-0.042
1983,8.619,-1.508,-0.342,31.897,0.359,0.212
1984,8.140,-1.987,-0.451,30.431,-1.107,-0.655
1985,7.976,-2.151,-0.488,32.343,0.805,0.476
1986,7.563,-2.564,-0.582,31.484,-0.055,-0.032
1987,,,,,,
1988,10.074,-0.054,-0.012,31.535,-0.003,-0.002
1989,10.367,0.240,0.054,31.693,0.154,0.091
1990,10.506,0.379,0.086,31.968,0.429,0.254
1991,10.963,0.835,0.190,31.363,-0.176,-0.104
1992,9.697,-0.430,-0.098,32.180,0.641,0.379
1993,8.424,-1.704,-0.387,31.632,0.093,0.055
1994,9.480,-0.647,-0.147,31.915,0.376,0.223
1995,10.419,0.292,0.066,31.166,-0.372,-0.220
1996,9.162,-0.965,-0.219,31.663,0.125,0.074
1997,10.133,0.005,0.001,32.383,0.845,0.499
1998,9.728,-0.400,-0.091,32.316,0.778,0.460
1999,10.266,0.139,0.032,31.663,0.124,0.073
2000,10.173,0.046,0.010,31.082,-0.457,-0.270
2001,9.658,-0.470,-0.107,31.483,-0.055,-0.033
2002,10.039,-0.088,-0.020,32.080,0.541,0.320
2003,9.610,-0.517,-0.117,32.327,0.789,0.466
2004,9.986,-0.141,-0.032,32.195,0.656,0.388
2005,11.008,0.880,0.200,31.042,-0.497,-0.293
2006,10.589,0.462,0.105,32.177,0.639,0.377
2007,10.505,0.378,0.086,31.009,-0.530,-0.313
2008,10.674,0.547,0.124,32.168,0.630,0.372
2009,10.383,0.256,0.058,32.226,0.687,0.406
2010,9.853,-0.274,-0.062,31.368,-0.171,-0.101
2011,8.661,-1.466,-0.333,31.209,-0.330,-0.195
2012,10.239,0.112,0.025,30.743,-0.796,-0.470
2013,9.249,-0.878,-0.199,30.819,-0.720,-0.425
2014,11.934,1.807,0.410,30.760,-0.779,-0.460
2015,10.355,0.228,0.052,31.514,-0.024,-0.014
2016,10.626,0.499,0.113,30.840,-0.699,-0.413
2017,10.445,0.318,0.072,31.954,0.415,0.245
2018,10.711,0.584,0.133,30.548,-0.990,-0.585
2019,9.870,-0.257,-0.058,31.023,-0.515,-0.305
2020,10.973,0.846,0.192,31.307,-0.231,-0.137
2021,10.506,0.379,0.086,31.515,-0.024,-0.014
2022,11.370,1.243,0.282,30.506,-1.033,-0.611
2023,10.990,0.863,0.196,31.768,0.229,0.136
2024,11.044,0.917,0.208,32.002,0.463,0.274
2025,10.959,0.832,0.189,31.578,0.040,0.023
