# Index:,NWES_014,,,,,,,
# Station Description:,Central Skagerrak,,,,,,,
# Region Code:,NWES,,,,,,,
# Latitude:,58.133 N,,,,,,,
# Longitude:,9.183 E,,,,,,,
# Detailed Location (WKT):,,,,,,,,
# Measurement Depth/Range:,Surface-water,,,,,,,
# Sampling Frequency:,monthly,,,,,,,
# Long Term Averaging Period:,1991-2020,,,,,,,
# Calculation Methodology:,,,,,,,,
# Data Source:,IMR - Institute of Marine Research - Norway,,,,,,,
# Contact Name (email):,Jon Albretsen (jon.albretsen@hi.no),,,,,,,
# Notes:,"Central Skagerrak Surface Water",,,,,,,
# Reference:,,,,,,,,
# DOI:,,,,,,,,
# Website:,,,,,,,,
Month,Temperature °C,SD,Min,Max,Salinity,SD,Min,Max
0.5,5.88,1.24,1.68,7.77,33.07,0.88,30.91,34.29
1.5,4.82,0.81,2.64,6.25,32.55,1.06,28.69,34.17
2.5,4.44,0.97,2.36,6.03,32.15,1.46,29.04,34.14
3.5,5.98,0.91,4.10,7.92,31.06,1.78,26.17,33.53
4.5,8.53,1.25,6.68,11.85,30.43,2.03,25.13,33.23
5.5,12.40,1.36,10.39,16.28,29.80,1.33,26.46,31.68
6.5,14.70,1.20,12.20,17.48,30.41,1.23,27.15,32.72
7.5,16.67,1.14,14.55,18.58,30.83,1.00,28.26,32.68
8.5,15.66,0.83,14.35,18.10,31.57,1.23,28.44,33.61
9.5,13.04,1.32,9.07,15.09,32.23,1.25,29.13,34.26
10.5,9.86,1.00,8.45,11.81,32.50,1.11,29.81,33.80
11.5,7.73,1.29,4.53,9.90,32.66,1.14,28.55,34.25
Measured Data for year 2022,,,,,,,,
Month,Temperature °C,Salinity,,,,,,
0.5,7.51,34.02,,,,,,
1.5,,,,,,,,
2.5,5.30,33.24,,,,,,
3.5,6.97,27.12,,,,,,
4.5,9.22,28.00,,,,,,
5.5,12.71,30.22,,,,,,
6.5,16.75,28.66,,,,,,
7.5,16.10,31.60,,,,,,
8.5,15.81,28.08,,,,,,
9.5,13.17,29.59,,,,,,
10.5,12.29,32.04,,,,,,
11.5,9.24,32.98,,,,,,
Measured Data for year 2023,,,,,,,,
Month,Temperature °C,Salinity,,,,,,
0.5,7.20,33.79,,,,,,
1.5,6.27,33.45,,,,,,
2.5,5.97,33.34,,,,,,
3.5,6.73,30.42,,,,,,
4.5,,,,,,,,
5.5,17.14,28.05,,,,,,
6.5,13.19,31.81,,,,,,
7.5,13.99,31.63,,,,,,
8.5,16.56,31.13,,,,,,
9.5,13.79,30.21,,,,,,
10.5,11.82,33.00,,,,,,
11.5,8.23,32.62,,,,,,
Measured Data for year 2024,,,,,,,,
Month,Temperature °C,Salinity,,,,,,
0.5,6.51,33.60,,,,,,
1.5,5.06,32.48,,,,,,
2.5,5.32,33.08,,,,,,
3.5,,,,,,,,
4.5,8.25,32.65,,,,,,
5.5,,,,,,,,
6.5,15.27,31.33,,,,,,
7.5,17.90,30.69,,,,,,
8.5,15.72,31.31,,,,,,
9.5,14.06,30.64,,,,,,
10.5,11.31,32.23,,,,,,
11.5,,,,,,,,
Measured Data for year 2025,,,,,,,,
Month,Temperature °C,Salinity,,,,,,
0.5,7.37,33.01,,,,,,
1.5,5.77,33.15,,,,,,
2.5,5.93,30.97,,,,,,
3.5,9.64,27.13,,,,,,
4.5,,,,,,,,
5.5,,,,,,,,
6.5,19.23,31.83,,,,,,
7.5,17.22,31.60,,,,,,
8.5,,,,,,,,
9.5,,,,,,,,
10.5,11.55,33.36,,,,,,
11.5,,,,,,,,
