# Index:,NWES_014,
# Station Description:,Central Skagerrak,
# Region Code:,NWES,
# Latitude:,58.133 N,
# Longitude:,9.183 E,
# Detailed Location (WKT):,,
# Measurement Depth/Range:,Surface-water,
# Sampling Frequency:,monthly,
# Data Source:,IMR - Institute of Marine Research - Norway,
# Contact Name (email):,Jon Albretsen (jon.albretsen@hi.no),
# Notes:,"Central Skagerrak Surface Water (0-10m)",
# Reference:,,
# DOI:,,
# Website:,,
Decimal Year,Temperature °C,Salinity
1952.0417,5.077,33.956
1952.1250,,
1952.2083,,
1952.2917,5.880,30.548
1952.3750,8.947,30.803
1952.4583,10.537,31.738
1952.5417,,
1952.6250,15.976,32.464
1952.7083,,
1952.7917,,
1952.8750,8.529,33.144
1952.9583,,
1953.0417,3.067,30.480
1953.1250,4.443,33.535
1953.2083,3.783,32.519
1953.2917,,
1953.3750,7.673,32.311
1953.4583,11.410,30.532
1953.5417,,
1953.6250,14.863,30.680
1953.7083,14.137,30.633
1953.7917,,
1953.8750,10.978,31.161
1953.9583,,
1954.0417,7.100,34.240
1954.1250,,
1954.2083,,
1954.2917,,
1954.3750,12.870,27.560
1954.4583,,
1954.5417,,
1954.6250,15.382,31.789
1954.7083,,
1954.7917,11.361,33.036
1954.8750,8.939,33.511
1954.9583,,
1955.0417,5.014,32.917
1955.1250,,
1955.2083,,
1955.2917,4.069,29.613
1955.3750,,
1955.4583,12.306,30.477
1955.5417,,
1955.6250,17.171,31.536
1955.7083,,
1955.7917,,
1955.8750,,
1955.9583,,
1956.0417,5.066,33.026
1956.1250,2.866,32.977
1956.2083,1.256,28.343
1956.2917,,
1956.3750,5.375,26.929
1956.4583,12.218,30.307
1956.5417,,
1956.6250,13.805,30.697
1956.7083,14.389,32.943
1956.7917,,
1956.8750,,
1956.9583,6.873,32.943
1957.0417,4.987,33.161
1957.1250,,
1957.2083,4.697,33.661
1957.2917,,
1957.3750,,
1957.4583,,
1957.5417,,
1957.6250,,
1957.7083,14.384,31.052
1957.7917,,
1957.8750,,
1957.9583,,
1958.0417,,
1958.1250,,
1958.2083,1.032,30.207
1958.2917,1.341,25.723
1958.3750,6.495,26.952
1958.4583,12.581,28.391
1958.5417,,
1958.6250,,
1958.7083,,
1958.7917,,
1958.8750,9.667,33.322
1958.9583,6.435,33.180
1959.0417,4.406,31.469
1959.1250,,
1959.2083,,
1959.2917,6.313,32.727
1959.3750,9.376,32.021
1959.4583,10.755,28.895
1959.5417,11.270,32.040
1959.6250,17.655,29.584
1959.7083,15.804,32.257
1959.7917,,
1959.8750,9.819,32.885
1959.9583,,
1960.0417,6.904,33.003
1960.1250,,
1960.2083,4.015,33.651
1960.2917,3.566,30.299
1960.3750,,
1960.4583,12.605,30.292
1960.5417,,
1960.6250,,
1960.7083,13.794,32.848
1960.7917,,
1960.8750,,
1960.9583,7.430,33.788
1961.0417,5.211,32.886
1961.1250,3.657,31.602
1961.2083,,
1961.2917,7.631,33.580
1961.3750,,
1961.4583,12.818,31.346
1961.5417,,
1961.6250,14.829,31.129
1961.7083,,
1961.7917,,
1961.8750,,
1961.9583,,
1962.0417,5.086,32.855
1962.1250,,
1962.2083,,
1962.2917,,
1962.3750,,
1962.4583,12.146,28.390
1962.5417,,
1962.6250,,
1962.7083,13.694,30.982
1962.7917,11.198,28.378
1962.8750,,
1962.9583,6.779,30.394
1963.0417,2.256,31.627
1963.1250,,
1963.2083,,
1963.2917,0.500,27.767
1963.3750,4.869,25.231
1963.4583,11.459,29.587
1963.5417,14.351,30.219
1963.6250,,
1963.7083,,
1963.7917,11.083,32.820
1963.8750,,
1963.9583,,
1964.0417,,
1964.1250,,
1964.2083,,
1964.2917,4.580,26.172
1964.3750,,
1964.4583,10.290,32.525
1964.5417,12.068,31.806
1964.6250,14.539,32.060
1964.7083,12.384,32.921
1964.7917,,
1964.8750,,
1964.9583,,
1965.0417,5.838,32.918
1965.1250,,
1965.2083,3.329,31.765
1965.2917,3.386,30.753
1965.3750,6.457,33.495
1965.4583,11.702,31.255
1965.5417,,
1965.6250,13.086,32.255
1965.7083,14.522,31.965
1965.7917,12.095,30.867
1965.8750,,
1965.9583,5.473,32.851
1966.0417,,
1966.1250,,
1966.2083,2.549,32.035
1966.2917,,
1966.3750,,
1966.4583,13.631,29.973
1966.5417,,
1966.6250,13.892,32.100
1966.7083,13.914,30.490
1966.7917,,
1966.8750,10.561,32.566
1966.9583,7.621,33.910
1967.0417,4.257,32.985
1967.1250,,
1967.2083,4.786,33.034
1967.2917,,
1967.3750,6.841,30.685
1967.4583,,
1967.5417,14.450,28.602
1967.6250,15.570,30.901
1967.7083,,
1967.7917,11.746,33.307
1967.8750,,
1967.9583,6.974,32.878
1968.0417,4.644,33.671
1968.1250,,
1968.2083,3.388,32.754
1968.2917,5.387,31.586
1968.3750,,
1968.4583,12.651,28.687
1968.5417,,
1968.6250,15.120,29.909
1968.7083,,
1968.7917,12.678,31.903
1968.8750,,
1968.9583,6.797,32.075
1969.0417,,
1969.1250,,
1969.2083,,
1969.2917,,
1969.3750,6.442,29.842
1969.4583,11.940,29.236
1969.5417,,
1969.6250,18.118,30.418
1969.7083,,
1969.7917,,
1969.8750,9.465,33.536
1969.9583,6.418,32.845
1970.0417,,
1970.1250,,
1970.2083,1.572,31.825
1970.2917,3.184,32.110
1970.3750,,
1970.4583,9.191,29.477
1970.5417,14.813,29.116
1970.6250,15.927,31.238
1970.7083,,
1970.7917,12.066,31.095
1970.8750,8.862,34.150
1970.9583,6.629,31.397
1971.0417,4.074,31.918
1971.1250,,
1971.2083,3.751,33.173
1971.2917,5.383,30.898
1971.3750,8.844,30.956
1971.4583,10.841,29.891
1971.5417,,
1971.6250,14.758,29.363
1971.7083,,
1971.7917,12.138,31.940
1971.8750,8.505,34.093
1971.9583,6.463,32.534
1972.0417,,
1972.1250,4.880,32.197
1972.2083,0.742,23.972
1972.2917,5.329,32.237
1972.3750,8.121,30.998
1972.4583,,
1972.5417,,
1972.6250,16.341,29.841
1972.7083,,
1972.7917,12.230,31.000
1972.8750,8.435,33.044
1972.9583,7.497,33.521
1973.0417,6.186,34.016
1973.1250,5.291,33.278
1973.2083,5.160,31.250
1973.2917,,
1973.3750,7.294,32.278
1973.4583,,
1973.5417,,
1973.6250,16.372,31.276
1973.7083,14.357,32.201
1973.7917,,
1973.8750,,
1973.9583,,
1974.0417,,
1974.1250,3.906,31.176
1974.2083,4.196,28.766
1974.2917,6.531,23.569
1974.3750,11.135,27.560
1974.4583,,
1974.5417,,
1974.6250,15.494,32.192
1974.7083,,
1974.7917,11.754,33.356
1974.8750,9.572,33.679
1974.9583,,
1975.0417,,
1975.1250,4.800,31.873
1975.2083,,
1975.2917,5.561,30.334
1975.3750,,
1975.4583,,
1975.5417,,
1975.6250,17.289,29.501
1975.7083,17.251,30.853
