# Index:,NWES_016,,,,,
# Station Description:,Central Skagerrak,,,,,
# Region Code:,NWES,,,,,
# Latitude:,58.133 N,,,,,
# Longitude:,9.183 E,,,,,
# Detailed Location (WKT):,,,,,,
# Measurement Depth/Range:,Bottom-water,,,,,
# Sampling Frequency:,monthly,,,,,
# Long Term Averaging Period:,1991-2020,,,,,
# Long Term Mean:,6.118,35.147,,,,
# Long Term Standard Deviation:,0.508,0.052,,,,
# Calculation Methodology:,,,,,,
# Data Source:,IMR - Institute of Marine Research - Norway,,,,,
# Contact Name (email):,Jon Albretsen (jon.albretsen@hi.no),,,,,
# Notes:,"Skagerrak bottom-water properties (600m)",,,,,
# Reference:,,,,,,
# DOI:,,,,,,
# Website:,,,,,,
Year,Temperature °C,Temperature Anomaly °C,Temperature Anomaly Normalised °C,Salinity,Salinity Anomaly,Salinity Anomaly Normalised
1952,,,,,,
1953,,,,,,
1954,,,,,,
1955,,,,,,
1956,5.225,-0.891,-1.755,35.150,0.002,0.038
1957,,,,,,
1958,,,,,,
1959,,,,,,
1960,5.822,-0.295,-0.580,35.186,0.038,0.738
1961,,,,,,
1962,,,,,,
1963,,,,,,
1964,,,,,,
1965,5.088,-1.028,-2.025,35.129,-0.019,-0.360
1966,,,,,,
1967,4.823,-1.293,-2.546,35.050,-0.098,-1.898
1968,5.653,-0.463,-0.913,35.167,0.019,0.364
1969,,,,,,
1970,4.589,-1.527,-3.008,35.022,-0.126,-2.438
1971,4.933,-1.183,-2.330,35.078,-0.070,-1.356
1972,5.457,-0.659,-1.297,35.107,-0.041,-0.797
1973,5.770,-0.346,-0.682,35.135,-0.013,-0.259
1974,5.979,-0.138,-0.271,35.126,-0.022,-0.424
1975,6.025,-0.091,-0.180,35.121,-0.027,-0.524
1976,6.077,-0.039,-0.076,35.157,0.009,0.180
1977,,,,,,
1978,5.678,-0.439,-0.864,35.055,-0.093,-1.805
1979,5.092,-1.024,-2.017,35.026,-0.122,-2.359
1980,5.004,-1.113,-2.191,34.987,-0.161,-3.119
1981,5.469,-0.647,-1.275,35.096,-0.052,-1.003
1982,5.037,-1.079,-2.125,35.080,-0.068,-1.315
1983,5.316,-0.800,-1.575,35.102,-0.046,-0.891
1984,5.607,-0.509,-1.003,35.147,-0.002,-0.030
1985,5.306,-0.810,-1.596,35.142,-0.006,-0.121
1986,5.101,-1.015,-1.999,35.110,-0.038,-0.741
1987,,,,,,
1988,5.093,-1.023,-2.014,35.051,-0.097,-1.872
1989,5.401,-0.715,-1.409,35.058,-0.090,-1.737
1990,6.112,-0.004,-0.007,35.088,-0.060,-1.165
1991,6.470,0.354,0.696,35.208,0.060,1.162
1992,6.566,0.450,0.887,35.207,0.059,1.148
1993,6.338,0.222,0.437,35.163,0.015,0.291
1994,5.773,-0.343,-0.676,35.147,-0.001,-0.014
1995,5.743,-0.373,-0.734,35.160,0.012,0.230
1996,5.438,-0.678,-1.335,35.091,-0.057,-1.112
1997,5.657,-0.459,-0.905,35.090,-0.058,-1.119
1998,6.073,-0.043,-0.084,35.095,-0.053,-1.029
1999,6.389,0.273,0.537,35.131,-0.017,-0.332
2000,6.763,0.646,1.273,35.198,0.050,0.977
2001,6.193,0.077,0.152,35.109,-0.039,-0.753
2002,6.170,0.054,0.106,35.090,-0.059,-1.133
2003,6.557,0.441,0.868,35.137,-0.011,-0.206
2004,6.553,0.437,0.861,35.162,0.014,0.270
2005,5.558,-0.559,-1.100,35.176,0.028,0.537
2006,5.740,-0.376,-0.741,35.176,0.028,0.547
2007,6.040,-0.077,-0.151,35.163,0.015,0.282
2008,6.519,0.403,0.793,35.180,0.032,0.615
2009,6.341,0.225,0.443,35.170,0.022,0.433
2010,5.016,-1.100,-2.167,35.017,-0.131,-2.535
2011,5.631,-0.485,-0.956,35.109,-0.039,-0.749
2012,6.101,-0.015,-0.029,35.157,0.009,0.165
2013,5.575,-0.542,-1.067,35.183,0.035,0.669
2014,5.704,-0.412,-0.812,35.188,0.040,0.779
2015,6.188,0.071,0.141,35.186,0.038,0.739
2016,6.735,0.618,1.218,35.188,0.040,0.781
2017,6.989,0.873,1.719,35.178,0.029,0.570
2018,6.193,0.077,0.151,35.124,-0.024,-0.466
2019,6.119,0.002,0.004,35.135,-0.013,-0.249
2020,6.355,0.239,0.471,35.122,-0.026,-0.498
2021,6.706,0.590,1.162,35.121,-0.028,-0.532
2022,6.843,0.726,1.431,35.119,-0.029,-0.558
2023,7.088,0.972,1.914,35.137,-0.011,-0.210
2024,7.227,1.111,2.188,35.123,-0.025,-0.483
2025,7.397,1.281,2.522,35.167,0.019,0.372
