# Index:,NWES_017,
# Station Description:,Cooled Atlantic Water (Atlantic Water below the seasonal thermocline in central Northern North Sea),
# Region Code:,NWES,
# Latitude:,59 N,
# Longitude:,2 W,
# Detailed Location (WKT):,"LINESTRING(-2.233 59.283, -1.933 59.283)",
# Measurement Depth/Range:,0-100 m,
# Sampling Frequency:,,
# Data Source:,SGMD - Scottish Government Marine Directorate - Aberdeen - UK,
# Contact Name (email):,Bee Berx & Berit Rabe (MD.Oceanography@gov.scot),
# Notes:,"Mean T and S in first two stations on Jonsis Line",
# Reference:,"The Scottish Ocean Climate Status Report. Hughes S.L. (ed.) Marine Scotland Report.",
# DOI:,,
# Website:,,
Decimal Year,Temperature °C,Salinity
1960.464,7.33,35.179
1960.724,7.88,35.29
1960.79,9.5,35.316
1960.954,8.59,35.202
1961.274,6.97,35.118
1961.444,7.87,35.057
1961.458,7.01,35.129
1964.738,8.8,35.301
1968.492,6.61,35.329
1969.482,6.61,35.216
1970.477,6.37,35.278
1970.759,10.15,35.278
1970.805,8.28,35.274
1971.436,7.18,35.271
1972.115,6.99,35.236
1972.391,7.04,35.266
1972.508,7.16,35.268
1972.754,9.04,35.24
1973.329,7.07,35.214
1973.433,7.39,35.21
1973.86,8.76,35.21
1974.09,7.06,35.224
1974.51,7.6,35.204
1974.622,9,35.249
1975.137,7.11,35.163
1975.315,6.53,35.2
1975.34,6.7,35.205
1975.496,6.96,35.176
1975.501,7.21,35.205
1975.858,9.56,35.162
1975.967,8.29,35.195
1976.208,6.27,35.185
1976.402,6.38,35.103
1976.568,7.64,35.155
1976.648,7.71,35.162
1977.153,6.45,35.14
1977.195,6.39,35.161
1977.422,6.62,35.192
1977.496,6.59,35.175
1977.534,6.45,35.136
1977.616,7.38,35.152
1977.945,8.26,35.122
1977.959,8.28,35.086
1978.444,6.54,35.104
1978.548,6.54,35.008
1978.641,7.03,35.162
1978.948,7.98,35.094
1979.11,6.18,35.076
1979.46,6.54,35.159
1979.523,7.43,35.168
1979.532,8.92,34.992
1979.54,6.23,34.952
1979.805,7.91,35.153
1980.022,7.23,35.147
1980.216,6.27,35.152
1980.331,6.27,35.161
1980.492,6.88,35.205
1980.563,6.8,35.204
1980.604,7.25,35.228
1980.858,8.91,35.198
1980.891,8.26,35.187
1981.014,6.93,35.165
1981.189,6.14,35.132
1981.488,7.3,35.229
1981.564,6.97,35.21
1981.822,8.13,35.262
1981.866,8.56,35.19
1982.137,6.43,35.101
1982.315,6.63,35.141
1982.57,7.25,35.191
1982.641,7.65,35.189
1982.841,9.37,35.188
1983.134,6.8,35.257
1983.26,6.63,35.275
1983.337,6.94,35.292
1983.515,7.23,35.236
1983.564,6.64,35.23
1983.638,7.61,35.28
1984.123,6.59,35.3
1984.287,6.24,35.237
1984.538,6.98,35.282
1984.568,8.37,35.32
1984.601,7.68,35.241
1984.727,7.68,35.261
1985.203,6.88,35.236
1985.321,6.54,35.217
1985.562,6.52,35.205
1985.611,8.37,35.228
1985.838,8.39,35.189
1986.055,7.03,35.181
1986.321,6.28,35.193
1986.638,7.13,35.233
1987.068,7.24,35.139
1988.057,8.41,35.148
1988.473,7.41,35.2
1988.484,7.32,35.19
1988.757,8.55,35.215
1989.058,8.32,35.151
1989.378,7.74,35.237
1989.488,7.98,35.268
1989.756,10,35.254
1989.962,8.8,35.24
1990.321,7.57,35.257
1990.449,7.86,35.261
1990.707,8.84,35.28
1991.29,7.18,35.296
1991.751,8.49,35.264
1991.825,8.99,35.206
1992.451,7.65,35.296
1992.743,8.66,35.328
1992.948,8.46,35.209
1993.403,7.08,35.212
1993.732,8.14,35.241
1993.959,8.33,35.162
1994.266,6.39,35.183
1995.899,9.06,35.211
1996.41,6.96,35.112
1996.79,7.98,35.139
1997.219,7.04,35.188
1997.392,7.3,35.209
1998.216,7.58,35.188
1998.756,8.41,35.295
1999.315,7.36,35.327
1999.704,8.68,35.295
1999.94,9.17,35.216
2000.352,7.02,35.244
2000.762,8.75,35.259
2000.934,9.22,35.201
2001.34,6.7,35.098
2001.762,8.68,35.161
2001.932,9.25,35.153
2002.37,7.71,35.246
2002.729,9.12,35.271
2002.934,8.59,35.2
2003.288,7.51,35.204
2003.71,9.02,35.257
2003.937,9.54,35.312
2004.363,7.85,35.337
2004.76,9.84,35.338
2004.934,8.98,35.292
2005.348,7.52,35.353
2005.942,9.13,35.289
2006.31,6.91,35.306
2006.756,8.35,35.33
2006.951,9.36,35.254
2007.321,7.72,35.255
2007.753,9.32,35.243
2007.937,8.72,35.245
2008.347,7.54,35.331
2008.738,8.56,35.356
2008.923,8.92,35.319
2009.411,8,35.308
2009.751,9.3,35.299
2009.923,9.6,35.301
2010.367,7.09,35.286
2011.367,7.36,35.282
2011.762,9.72,35.325
2011.945,9.33,35.256
2012.352,7.69,35.337
2012.746,9,35.313
2013.937,8.31,35.191
2014.312,7.35,35.15
2014.737,8.57,35.189
2014.934,9.3,35.151
2015.318,7.36,35.252
2015.718,8.79,35.325
2015.942,9.62,35.216
2016.317,7.31,35.205
2016.74,10.34,35.137
2016.943,9.68,35.121
2017.386,8.01,35.164
2017.773,11.19,35.195
2017.951,8.81,35.204
2018.348,6.78,35.141
2018.764,10.87,35.112
2018.948,9.31,35.048
2019.304,7.71,35.18
2019.795,9.56,35.219
2019.945,8.88,35.167
2020.781,8.62,35.182
2020.964,9.46,35.128
2021.332,7.08,35.034
2021.77,9.21,35.069
2021.942,8.87,35.161
2022.326,7.51,35.174
2022.764,10.58,35.188
2022.942,9.71,35.148
2023.721,9.01,35.163
2023.942,8.77,35.149
2024.35,7.46,35.167
2024.743,8.88,35.244
2024.929,9.69,35.238
