Station Number,Station Name,Degrees Latitude,Minutes Latitude,Hemisphere Latitude,Degrees Longitude,Minutes Longitude,Hemisphere Longitude,Decimal Degrees Latitude,Decimal Degrees Longitude,Depth,Distance,Priority,Full Sampling Codes,Reduced Sampling Codes
1,AECO-01 / ABZHAN17,57,0.00,N,2,4.00,E,57.0000,2.0667,92,0.00,1,"N, CH, OCal*",
2,AECO-02 / ABZHAN18,57,0.00,N,1,48.00,E,57.0000,1.8000,94,8.72,1,"N, CH",
3,AECO-03 / ABZHAN19,57,0.00,N,1,36.00,E,57.0000,1.6000,99,6.54,1,"N, CH",
4,AECO-04,57,0.00,N,1,22.00,E,57.0000,1.3667,104,7.63,2,CTD only,
5,AECO-05 / ABZHAN20,57,0.00,N,1,8.00,E,57.0000,1.1333,85,7.63,1,"N, CH",
6,AECO-06,57,0.00,N,0,54.00,E,57.0000,0.9000,102,7.63,2,CTD only,
7,AECO-07 / ABZHAN21,57,0.00,N,0,40.00,E,57.0000,0.6667,92,7.63,1,"N, CH, OCal",
8,AECO-08,57,0.00,N,0,27.00,E,57.0000,0.4500,89,7.09,2,CTD only,
9,AECO-09 / ABZHAN22,57,0.00,N,0,14.00,E,57.0000,0.2333,87,7.09,1,"N, CH",
10,AECO-10,57,0.00,N,0,0.00,E,57.0000,0.0000,83,7.63,2,CTD only,
11,AECO-11 / ABZHAN23,57,0.00,N,0,14.00,W,57.0000,-0.2333,79,7.63,1,"N, CH",
12,AECO-12,57,0.00,N,0,28.00,W,57.0000,-0.4667,82,7.63,2,CTD only,
13,AECO-13 / ABZHAN24,57,0.00,N,0,42.00,W,57.0000,-0.7000,68,7.63,1,"N, CH, OCal",
14,AECO-14,57,0.00,N,0,55.00,W,57.0000,-0.9167,75,7.09,2,CTD only,
15,AECO-15 / ABZHAN25,57,0.00,N,1,8.00,W,57.0000,-1.1333,67,7.09,1,"N, CH",
16,AECO-16 / ABZHAN26,57,0.00,N,1,28.00,W,57.0000,-1.4667,68,10.90,1,"N, CH",
17,AECO-17,57,0.00,N,1,47.00,W,57.0000,-1.7833,98,10.36,2,CTD only,
18,Stonehaven_out(SCObs) / AECO-18,56,57.80,N,2,6.80,W,56.9633,-2.1133,47,11.02,1,"N, CH, OCal",
101,ABZHAN01,57,0.00,N,7,57.00,E,57.0000,7.9500,,,,,
102,ABZHAN02,57,0.00,N,7,39.00,E,57.0000,7.6500,,9.81,,,
103,ABZHAN03,57,0.00,N,7,21.00,E,57.0000,7.3500,,9.81,,,
104,ABZHAN04,57,0.00,N,7,0.00,E,57.0000,7.0000,,11.45,,,
105,ABZHAN05,57,0.00,N,6,41.00,E,57.0000,6.6833,,10.36,,,
106,ABZHAN06,57,0.00,N,6,21.00,E,57.0000,6.3500,,10.90,,,
107,ABZHAN07,57,0.00,N,6,0.00,E,57.0000,6.0000,,11.45,,,
108,ABZHAN08,57,0.00,N,5,40.00,E,57.0000,5.6667,,10.90,,,
109,ABZHAN09,57,0.00,N,5,11.00,E,57.0000,5.1833,,15.81,,,
110,ABZHAN10,57,0.00,N,4,42.00,E,57.0000,4.7000,,15.81,,,
111,ABZHAN11,57,0.00,N,4,18.00,E,57.0000,4.3000,,13.08,,,
112,ABZHAN12,57,0.00,N,3,54.00,E,57.0000,3.9000,,13.08,,,
113,ABZHAN13,57,0.00,N,3,40.00,E,57.0000,3.6667,,7.63,,,
114,ABZHAN14,57,0.00,N,3,24.00,E,57.0000,3.4000,,8.72,,,
115,ABZHAN15,57,0.00,N,2,58.00,E,57.0000,2.9667,,14.17,,,
116,ABZHAN16,57,0.00,N,2,30.00,E,57.0000,2.5000,,15.26,,,
117,AECO-01 / ABZHAN17,57,0.00,N,2,4.00,E,57.0000,2.0667,,14.17,,,
118,AECO-02 / ABZHAN18,57,0.00,N,1,48.00,E,57.0000,1.8000,,8.72,,,
119,AECO-03 / ABZHAN19,57,0.00,N,1,36.00,E,57.0000,1.6000,,6.54,,,
120,AECO-05 / ABZHAN20,57,0.00,N,1,8.00,E,57.0000,1.1333,,15.26,,,
121,AECO-07 / ABZHAN21,57,0.00,N,0,40.00,E,57.0000,0.6667,,15.26,,,
122,AECO-09 / ABZHAN22,57,0.00,N,0,14.00,E,57.0000,0.2333,,14.17,,,
123,AECO-11 / ABZHAN23,57,0.00,N,0,14.00,W,57.0000,-0.2333,,15.26,,,
124,AECO-13 / ABZHAN24,57,0.00,N,0,42.00,W,57.0000,-0.7000,,15.26,,,
125,AECO-15 / ABZHAN25,57,0.00,N,1,8.00,W,57.0000,-1.1333,,14.17,,,
126,AECO-16 / ABZHAN26,57,0.00,N,1,28.00,W,57.0000,-1.4667,,10.90,,,
