Station Number,Station Name,Degrees Latitude,Minutes Latitude,Hemisphere Latitude,Degrees Longitude,Minutes Longitude,Hemisphere Longitude,Decimal Degrees Latitude,Decimal Degrees Longitude,Depth,Distance,Priority,Full Sampling Codes,Reduced Sampling Codes
1,FIM-01,60,10.00,N,3,44.00,W,60.1667,-3.7333,150,0.00,1,"S, N, CH, DS, 4S","S, N, CH, DS, 4S"
2,SEFF-01,60,13.00,N,3,51.50,W,60.2167,-3.8583,170,4.79,3,"N, CH",CH
3,FIM-02,60,16.00,N,3,59.00,W,60.2667,-3.9833,200,4.78,1,"S, N, T, O/OCal, CH","S, N, O/OCal, CH"
4,SEFF-02,60,18.00,N,4,4.50,W,60.3000,-4.0750,330,3.38,3,"N, CH",CH
5,FIM-03,60,20.00,N,4,10.00,W,60.3333,-4.1667,390,3.38,1,"S, N, CH, DS","S, N, CH, DS"
5,FIM-03A,60,20.25,N,4,9.00,W,60.3375,-4.1500,390,3.17,1,"S, N, CH, DS","S, N, CH, DS"
6,FIM-04,60,25.00,N,4,19.00,W,60.4167,-4.3167,655,6.86,2,"N, CH",CH
7,FIM-05,60,29.00,N,4,26.00,W,60.4833,-4.4333,995,5.29,1,"S, N, CH","S, N*, CH"
8,FIM-06,60,35.00,N,4,45.00,W,60.5833,-4.7500,1090,11.11,1,"N,T,O/OCal,CH,4S","N, O/OCal, CH, 4S"
9,FIM-6A,60,38.00,N,4,54.00,W,60.6333,-4.9000,1030,5.34,2,"S, N, CH, DS","S, CH, DS"
10,FIM-07,60,43.00,N,5,6.00,W,60.7167,-5.1000,915,7.72,2,"N, CH",CH
11,FIM-08,60,47.00,N,5,16.00,W,60.7833,-5.2667,830,6.32,1,"S, N, T, O, CH","S, N, O, CH"
12,FIM-09,60,51.00,N,5,29.00,W,60.8500,-5.4833,600,7.50,1,"N, CH, DS","N*, CH, DS"
13,FARF-03,60,56.70,N,5,42.80,W,60.9450,-5.7133,333,8.81,4,CTD only,CTD only
14,FIM-10,61,2.00,N,5,57.00,W,61.0333,-5.9500,280,8.70,1,"S, N, CH","S, N, CH"
15,FARF-02,61,7.20,N,6,9.40,W,61.1200,-6.1567,250,7.94,4,CTD only,CTD only
16,FIM-11,61,12.00,N,6,22.00,W,61.2000,-6.3667,240,7.75,1,"N, T, O/OCal, CH, DS","N, O/OCal, CH, DS"
17,FIM-11A,61,11.30,N,6,20.00,W,61.1883,-6.3333,242,6.56,1,"N, T, O/OCal, CH, DS","N, O/OCal, CH, DS"
18,FARF-01,61,16.40,N,6,37.70,W,61.2733,-6.6283,100,9.94,4,CTD only,CTD only
