Station Number,Station Name,Degrees Latitude,Minutes Latitude,Hemisphere Latitude,Degrees Longitude,Minutes Longitude,Hemisphere Longitude,Decimal Degrees Latitude,Decimal Degrees Longitude,Depth,Distance,Priority,Full Sampling Codes,Reduced Sampling Codes
1,KS11,54,4.00,N,8,7.80,E,54.0667,8.1300,18,0.00,,,
2,GN003_ELBE1,54,0.00,N,8,6.60,E,54.0000,8.1100,22,4.06,,,
3,GN003A,54,0.00,N,7,10.20,E,54.0000,7.1700,29,33.17,,,
4,GN007,53,56.00,N,6,25.20,E,53.9333,6.4200,26,26.79,,,
5,BRGRU,53,56.50,N,6,12.00,E,53.9417,6.2000,29,7.79,,,
6,GN007A,54,0.00,N,5,40.20,E,54.0000,5.6700,36,19.04,,,
7,GN008,54,0.00,N,4,49.80,E,54.0000,4.8300,41,29.64,,,
8,GN008S,54,0.00,N,3,55.20,E,54.0000,3.9200,45,32.11,,,
9,GN009,54,0.00,N,3,0.00,E,54.0000,3.0000,41,32.47,,,
10,GN009A,53,25.00,N,3,30.00,E,53.4167,3.5000,27,39.27,,,
11,GN010,53,0.00,N,4,0.00,E,53.0000,4.0000,27,30.81,,,
12,GN011N,52,31.00,N,4,19.80,E,52.5167,4.3300,19,31.40,,,
13,GN012N,52,1.00,N,3,34.20,E,52.0167,3.5700,24,41.00,,,
14,GN013N,51,48.00,N,2,55.20,E,51.8000,2.9200,31,27.37,,,
15,GN014,52,0.00,N,2,0.00,E,52.0000,2.0000,28,36.14,,,
16,GN015,52,30.00,N,2,30.00,E,52.5000,2.5000,49,35.20,,,
17,GN015B,52,50.00,N,2,10.20,E,52.8333,2.1700,35,23.34,,,
18,GN016,53,20.00,N,1,40.20,E,53.3333,1.6700,27,35.02,,,
19,GN09S,54,0.00,N,2,0.00,E,54.0000,2.0000,72,41.71,,,
20,GN017,54,0.00,N,1,0.00,E,54.0000,1.0000,41,35.29,,,
21,GN017A,54,0.00,N,0,19.80,E,54.0000,0.3300,51,23.64,,,
22,GN017S,54,30.00,N,0,10.20,W,54.5000,-0.1700,56,34.77,,,
23,GN018A,55,0.00,N,0,40.20,W,55.0000,-0.6700,65,34.66,,,
24,GN018,55,0.00,N,0,0.00,E,55.0000,0.0000,72,23.07,,,
25,GN018S,55,0.00,N,1,0.00,E,55.0000,1.0000,61,34.44,,,
26,GN019,55,0.00,N,2,0.00,E,55.0000,2.0000,24,34.44,,,
27,GN019S,55,0.00,N,3,0.00,E,55.0000,3.0000,23,34.44,,,
28,GN020,55,0.00,N,4,0.00,E,55.0000,4.0000,47,34.44,,,
29,AWZW2,55,0.00,N,5,0.00,E,55.0000,5.0000,41,34.44,,,
30,GN022,55,0.00,N,6,15.00,E,55.0000,6.2500,44,43.05,,,
31,WB5,55,4.00,N,6,19.80,E,55.0667,6.3300,45,4.86,,,
32,GN022A,55,0.00,N,7,0.00,E,55.0000,7.0000,31,23.40,,,
33,GN023,55,0.00,N,7,34.80,E,55.0000,7.5800,25,19.97,,,
34,GN024_SYLT1,55,0.00,N,8,0.00,E,55.0000,8.0000,15,14.46,,,
35,GN025,55,0.00,N,8,15.00,E,55.0000,8.2500,12,8.61,,,
36,GN026,56,0.00,N,7,40.20,E,56.0000,7.6700,25,63.20,,,
37,GN026A,56,0.00,N,7,0.00,E,56.0000,7.0000,34,22.49,,,
38,GN027,56,0.00,N,6,0.00,E,56.0000,6.0000,46,33.57,,,
39,GN028,56,0.00,N,5,0.00,E,56.0000,5.0000,42,33.57,,,
40,GN028S,56,0.00,N,4,0.00,E,56.0000,4.0000,60,33.57,,,
41,ENTE3,55,55.00,N,3,21.00,E,55.9167,3.3500,69,22.41,,,
42,GN029,56,0.00,N,3,0.00,E,56.0000,3.0000,72,12.78,,,
43,GN030,56,0.00,N,2,0.00,E,56.0000,2.0000,85,33.57,,,
44,GN031,56,0.00,N,1,0.00,E,56.0000,1.0000,75,33.57,,,
45,GN032,56,0.00,N,0,0.00,E,56.0000,0.0000,80,33.57,,,
46,GN033,56,0.00,N,1,0.00,W,56.0000,-1.0000,61,33.57,,,
47,GN033A,56,0.00,N,1,40.20,W,56.0000,-1.6700,64,22.49,,,
48,GN033S,56,30.00,N,1,40.20,W,56.5000,-1.6700,49,30.02,,,
49,GN034A,57,0.00,N,1,40.20,W,57.0000,-1.6700,78,30.02,,,
50,GN034,57,0.00,N,1,0.00,W,57.0000,-1.0000,68,21.91,,,
51,GN034S,57,0.00,N,0,10.20,E,57.0000,0.1700,81,38.26,,,
52,GN035,57,0.00,N,1,19.80,E,57.0000,1.3300,97,37.93,,,
53,GN035S,57,0.00,N,2,25.20,E,57.0000,2.4200,79,35.64,,,
54,GN036,57,0.00,N,3,30.00,E,57.0000,3.5000,64,35.32,,,
55,GN037,57,0.00,N,5,0.00,E,57.0000,5.0000,57,49.05,,,
56,GN038,57,0.00,N,6,0.00,E,57.0000,6.0000,49,32.70,,,
57,GN038A,57,0.00,N,7,0.00,E,57.0000,7.0000,33,32.70,,,
58,GN039,57,0.00,N,8,0.00,E,57.0000,8.0000,29,32.70,,,
59,GN039S,57,25.00,N,8,0.00,E,57.4167,8.0000,89,25.02,,,
60,GN040,57,50.00,N,8,0.00,E,57.8333,8.0000,514,25.02,,,
61,GN040S,57,55.00,N,7,0.00,E,57.9167,7.0000,290,32.32,,,
62,GN040A,57,57.50,N,6,30.00,E,57.9583,6.5000,348,16.13,,,
63,GN041,58,0.00,N,6,0.00,E,58.0000,6.0000,304,16.11,,,
64,GN042,58,0.00,N,5,0.00,E,58.0000,5.0000,127,31.82,,,
65,GN042S,58,0.00,N,4,0.00,E,58.0000,4.0000,99,31.82,,,
66,GN043,58,0.00,N,3,0.00,E,58.0000,3.0000,75,31.82,,,
67,GN043A,58,0.00,N,2,15.00,E,58.0000,2.2500,75,23.86,,,
68,GN044,58,0.00,N,1,30.00,E,58.0000,1.5000,103,23.86,,,
69,GN044A,58,0.00,N,0,52.80,E,58.0000,0.8800,142,19.73,,,
70,GN044S,58,0.00,N,0,15.00,E,58.0000,0.2500,135,20.04,,,
71,GN044B,58,0.00,N,0,22.80,W,58.0000,-0.3800,117,20.04,,,
72,GN045,58,0.00,N,1,0.00,W,58.0000,-1.0000,111,19.73,,,
73,GN045A,58,0.00,N,2,0.00,W,58.0000,-2.0000,76,31.82,,,
74,GN057A,58,45.00,N,4,0.00,W,58.7500,-4.0000,83,77.41,,,
75,GN056,58,45.00,N,5,0.00,W,58.7500,-5.0000,84,31.15,,,
76,GN056A,59,0.00,N,4,30.00,W,59.0000,-4.5000,73,21.59,,,
77,GN054B,59,30.00,N,3,45.00,W,59.5000,-3.7500,156,37.83,,,
78,GN054,60,0.00,N,3,0.00,W,60.0000,-3.0000,102,37.63,,,
79,GN054A,60,30.00,N,2,30.00,W,60.5000,-2.5000,138,33.51,,,
80,GN053B,60,0.00,N,2,0.00,W,60.0000,-2.0000,87,33.51,,,
81,GN053D,59,15.00,N,1,25.20,W,59.2500,-1.4200,103,48.35,,,
82,GN053C,59,30.00,N,1,22.20,W,59.5000,-1.3700,96,15.09,,,
83,GN053A,59,48.00,N,1,19.80,W,59.8000,-1.3300,85,18.05,,,
84,GN053,60,0.00,N,0,30.00,W,60.0000,-0.5000,124,27.73,,,
85,GN052B,60,0.00,N,0,7.80,E,60.0000,0.1300,140,18.91,,,
86,GN052S,60,0.00,N,0,45.00,E,60.0000,0.7500,126,18.61,,,
87,GN052A,60,0.00,N,1,22.80,E,60.0000,1.3800,104,18.91,,,
88,GN052,60,0.00,N,2,0.00,E,60.0000,2.0000,102,18.61,,,
89,GN051B,60,0.00,N,2,37.80,E,60.0000,2.6300,109,18.91,,,
90,GN051S,60,0.00,N,3,15.00,E,60.0000,3.2500,213,18.61,,,
91,GN051A,60,0.00,N,3,52.80,E,60.0000,3.8800,285,18.91,,,
92,GN051,60,0.00,N,4,30.00,E,60.0000,4.5000,258,18.61,,,
93,GN050S,59,30.00,N,4,30.00,E,59.5000,4.5000,264,30.02,,,
94,GN050,59,0.00,N,4,30.00,E,59.0000,4.5000,259,30.02,,,
95,GN049S,59,0.00,N,3,45.00,E,59.0000,3.7500,270,23.19,,,
