Station Number,Station Name,Degrees Latitude,Minutes Latitude,Hemisphere Latitude,Degrees Longitude,Minutes Longitude,Hemisphere Longitude,Decimal Degrees Latitude,Decimal Degrees Longitude,Depth,Distance,Priority,Full Sampling Codes,Reduced Sampling Codes
1,JO-01,59,17.00,N,2,14.00,W,59.2833,-2.2333,75,0.00,1,"S, N, T,O/OCal, CH, DS","S, N,O/OCal,CH, DS"
2,JO-01A,59,17.00,N,2,5.00,W,59.2833,-2.0833,90,4.60,2,"N,CH",CH
3,JO-02,59,17.00,N,1,56.00,W,59.2833,-1.9333,100,4.60,2,"S, N,CH","S, CH"
4,JO-03,59,17.00,N,1,48.00,W,59.2833,-1.8000,80,4.09,1,"N, T,O,CH, DS","N, O,CH, DS"
5,JO-04,59,17.00,N,1,40.00,W,59.2833,-1.6667,90,4.09,2,"S, N,CH","S, CH"
6,JO-05,59,17.00,N,1,30.00,W,59.2833,-1.5000,95,5.11,2,"N,CH",CH
7,JO-06,59,17.00,N,1,20.00,W,59.2833,-1.3333,110,5.11,2,"S, N,CH","S, CH"
8,JO-06A,59,17.00,N,1,10.00,W,59.2833,-1.1667,120,5.11,1,"N, T,O,CH, DS","N,O,CH, DS"
9,JO-07,59,17.00,N,1,0.00,W,59.2833,-1.0000,125,5.11,2,"S, N,CH","S, CH"
10,JO-08,59,17.00,N,0,40.00,W,59.2833,-0.6667,120,10.22,2,"N,CH",CH
11,JO-09,59,17.00,N,0,20.00,W,59.2833,-0.3333,140,10.22,2,"S, N,CH","S, CH"
12,JO-10,59,17.00,N,0,0.00,E,59.2833,0.0000,135,10.22,1,"N, T,O/OCal, CH, DS","N, O/OCal, CH, DS"
101,JO-06_VM17,59,17.00,N,1,24.90,W,59.2833,-1.4150,,,,,
102,JO-06_VM16,59,17.00,N,1,23.92,W,59.2833,-1.3987,,0.50,,,
103,JO-06_VM15,59,17.00,N,1,22.94,W,59.2833,-1.3823,,0.50,,,
104,JO-06_VM14,59,17.00,N,1,21.96,W,59.2833,-1.3660,,0.50,,,
105,JO-06_VM13,59,17.00,N,1,20.98,W,59.2833,-1.3497,,0.50,,,
106,JO-06,59,17.00,N,1,20.00,W,59.2833,-1.3333,,0.50,,,
107,JO-06_VM11,59,17.00,N,1,19.02,W,59.2833,-1.3170,,0.50,,,
108,JO-06_VM10,59,17.00,N,1,18.04,W,59.2833,-1.3007,,0.50,,,
109,JO-06_VM9,59,17.00,N,1,17.06,W,59.2833,-1.2843,,0.50,,,
110,JO-06_VM8,59,17.00,N,1,16.08,W,59.2833,-1.2680,,0.50,,,
111,JO-06_VM7,59,17.00,N,1,15.10,W,59.2833,-1.2517,,0.50,,,
