Station Number,Station Name,Degrees Latitude,Minutes Latitude,Hemisphere Latitude,Degrees Longitude,Minutes Longitude,Hemisphere Longitude,Decimal Degrees Latitude,Decimal Degrees Longitude,Depth,Distance,Priority,Full Sampling Codes,Reduced Sampling Codes
1,SMA_01,56,45.00,N,7,40.00,W,56.7500,-7.6667,,0.00,,,
2,SMA_02,56,42.00,N,7,33.00,W,56.7000,-7.5500,,4.88,,,
3,SMA_03,56,39.50,N,7,25.50,W,56.6583,-7.4250,,4.82,,,
4,SMA_04,56,36.50,N,7,18.00,W,56.6083,-7.3000,,5.10,,,
5,SMA_05,56,33.00,N,7,10.50,W,56.5500,-7.1750,,5.42,,,
6,SMB_01,56,27.00,N,7,40.00,W,56.4500,-7.6667,,17.36,,,
7,SMB_02,56,27.00,N,7,31.00,W,56.4500,-7.5167,,4.98,,,
8,SMB_03,56,27.00,N,7,22.00,W,56.4500,-7.3667,,4.98,,,
9,SMB_04,56,27.00,N,7,12.00,W,56.4500,-7.2000,,5.53,,,
10,SMB_05,56,27.00,N,7,3.00,W,56.4500,-7.0500,,4.98,,,
11,SMB_06,56,27.00,N,6,54.00,W,56.4500,-6.9000,,4.98,,,
12,SMB_07,56,27.00,N,6,45.00,W,56.4500,-6.7500,,4.98,,,
13,SMB_08,56,27.00,N,6,36.00,W,56.4500,-6.6000,,4.98,,,
14,SMB_09,56,27.00,N,6,26.00,W,56.4500,-6.4333,,5.53,,,
15,SMB_10,56,27.00,N,6,17.00,W,56.4500,-6.2833,,4.98,,,
16,SMBC_01,56,50.00,N,7,31.00,W,56.8333,-7.5167,,46.77,,,
17,SMBC_02,56,50.00,N,7,22.00,W,56.8333,-7.3667,,4.93,,,
18,SMBC_03,56,50.00,N,7,12.00,W,56.8333,-7.2000,,5.47,,,
19,SMBC_04,56,50.00,N,7,3.00,W,56.8333,-7.0500,,4.93,,,
20,SMBC_05,56,50.00,N,6,54.00,W,56.8333,-6.9000,,4.93,,,
21,SMBC_06,56,50.00,N,6,45.00,W,56.8333,-6.7500,,4.93,,,
22,SMBC_07,56,50.00,N,6,36.00,W,56.8333,-6.6000,,4.93,,,
23,SMBC_08,56,50.00,N,6,26.00,W,56.8333,-6.4333,,5.47,,,
24,SMC_01,56,55.00,N,7,22.00,W,56.9167,-7.3667,,31.03,,,
25,SMC_02,56,55.00,N,7,12.00,W,56.9167,-7.2000,,5.46,,,
26,SMC_03,56,55.00,N,7,3.00,W,56.9167,-7.0500,,4.92,,,
27,SMC_04,56,55.00,N,6,54.00,W,56.9167,-6.9000,,4.92,,,
28,SMC_05,56,55.00,N,6,45.00,W,56.9167,-6.7500,,4.92,,,
29,SMC_06,56,55.00,N,6,36.00,W,56.9167,-6.6000,,4.92,,,
30,SMC_07,56,55.00,N,6,26.00,W,56.9167,-6.4333,,5.46,,,
31,SMC_08,56,55.00,N,6,17.00,W,56.9167,-6.2833,,4.92,,,
32,SMC_09,56,55.00,N,6,13.00,W,56.9167,-6.2167,,2.18,,,
33,SMD_01,57,0.00,N,7,18.00,W,57.0000,-7.3000,,35.82,,,
34,SMD_02,57,0.00,N,7,12.00,W,57.0000,-7.2000,,3.27,,,
35,SMD_03,57,0.00,N,7,3.00,W,57.0000,-7.0500,,4.91,,,
36,SMD_04,57,0.00,N,6,54.00,W,57.0000,-6.9000,,4.91,,,
37,SMD_05,57,0.00,N,6,45.00,W,57.0000,-6.7500,,4.91,,,
38,SMD_06,57,0.00,N,6,36.00,W,57.0000,-6.6000,,4.91,,,
39,SMD_07,57,0.00,N,6,29.00,W,57.0000,-6.4833,,3.82,,,
40,SME_01,57,5.00,N,7,12.00,W,57.0833,-7.2000,,23.94,,,
41,SME_02,57,5.00,N,7,3.00,W,57.0833,-7.0500,,4.89,,,
42,SME_03,57,5.00,N,6,54.00,W,57.0833,-6.9000,,4.89,,,
43,SME_04,57,5.00,N,6,45.00,W,57.0833,-6.7500,,4.89,,,
44,SME_05,57,5.00,N,6,36.00,W,57.0833,-6.6000,,4.89,,,
45,SME_06,57,5.00,N,6,26.00,W,57.0833,-6.4333,,5.44,,,
46,SME_07,57,5.00,N,6,17.00,W,57.0833,-6.2833,,4.89,,,
47,SMEF_01,57,10.00,N,7,30.00,W,57.1667,-7.5000,,39.97,,,
48,SMEF_02,57,10.00,N,6,54.00,W,57.1667,-6.9000,,19.53,,,
49,SMEF_03,57,10.00,N,6,45.00,W,57.1667,-6.7500,,4.88,,,
50,SMEF_04,57,10.00,N,6,36.00,W,57.1667,-6.6000,,4.88,,,
51,SMF_01,57,15.00,N,7,12.00,W,57.2500,-7.2000,,20.14,,,
52,SMF_02,57,15.00,N,7,3.00,W,57.2500,-7.0500,,4.87,,,
53,SMF_03,57,15.00,N,6,54.00,W,57.2500,-6.9000,,4.87,,,
54,SMF_04,57,15.00,N,6,45.00,W,57.2500,-6.7500,,4.87,,,
55,SMF_05,57,15.00,N,6,36.00,W,57.2500,-6.6000,,4.87,,,
56,SMF_06,57,15.00,N,6,27.00,W,57.2500,-6.4500,,4.87,,,
57,SMG_01,57,25.00,N,7,9.00,W,57.4167,-7.1500,,24.79,,,
58,SMG_02,57,25.00,N,7,3.00,W,57.4167,-7.0500,,3.23,,,
59,SMG_03,57,25.00,N,6,54.00,W,57.4167,-6.9000,,4.85,,,
60,SMG_04,57,25.00,N,6,48.00,W,57.4167,-6.8000,,3.23,,,
61,SMH_01,57,39.50,N,7,25.00,W,57.6583,-7.4167,,24.61,,,
62,SMH_02,57,39.50,N,7,12.00,W,57.6583,-7.2000,,6.96,,,
63,SMH_03,57,39.50,N,7,3.00,W,57.6583,-7.0500,,4.82,,,
64,SMH_04,57,39.50,N,6,54.00,W,57.6583,-6.9000,,4.82,,,
65,SMH_05,57,39.50,N,6,45.00,W,57.6583,-6.7500,,4.82,,,
66,SMI_01,57,33.50,N,7,10.50,W,57.5583,-7.1750,,14.93,,,
67,SMI_02,57,33.50,N,7,3.00,W,57.5583,-7.0500,,4.03,,,
68,SMI_03,57,33.50,N,6,54.00,W,57.5583,-6.9000,,4.83,,,
101,NMA_01,58,30.00,N,6,10.00,W,58.5000,-6.1667,,0.00,,,
102,NMA_02,58,30.00,N,6,0.00,W,58.5000,-6.0000,,5.23,,,
103,NMA_03,58,30.00,N,5,50.00,W,58.5000,-5.8333,,5.23,,,
104,NMA_04,58,30.00,N,5,40.00,W,58.5000,-5.6667,,5.23,,,
105,NMA_05,58,30.00,N,5,30.00,W,58.5000,-5.5000,,5.23,,,
106,NMA_06,58,30.00,N,5,20.00,W,58.5000,-5.3333,,5.23,,,
107,NMA_07,58,30.00,N,5,10.00,W,58.5000,-5.1667,,5.23,,,
108,NMB_01,58,20.00,N,6,7.00,W,58.3333,-6.1167,,31.50,,,
109,NMB_02,58,20.00,N,6,0.00,W,58.3333,-6.0000,,3.68,,,
110,NMB_03,58,20.00,N,5,50.00,W,58.3333,-5.8333,,5.25,,,
111,NMB_04,58,20.00,N,5,40.00,W,58.3333,-5.6667,,5.25,,,
112,NMB_05,58,20.00,N,5,30.00,W,58.3333,-5.5000,,5.25,,,
113,NMB_06,58,20.00,N,5,20.00,W,58.3333,-5.3333,,5.25,,,
114,NMB_07,58,20.00,N,5,15.00,W,58.3333,-5.2500,,2.63,,,
115,NMC_01,58,10.00,N,6,15.00,W,58.1667,-6.2500,,33.14,,,
116,NMC_02,58,10.00,N,6,7.00,W,58.1667,-6.1167,,4.22,,,
117,NMC_03,58,10.00,N,6,0.00,W,58.1667,-6.0000,,3.69,,,
118,NMC_04,58,10.00,N,5,50.00,W,58.1667,-5.8333,,5.28,,,
119,NMC_05,58,10.00,N,5,40.00,W,58.1667,-5.6667,,5.28,,,
120,NMC_06,58,10.00,N,5,25.00,W,58.1667,-5.4167,,7.92,,,
121,NMD_01,58,0.00,N,6,20.00,W,58.0000,-6.3333,,30.77,,,
122,NMD_02,58,0.00,N,6,10.00,W,58.0000,-6.1667,,5.30,,,
123,NMD_03,58,0.00,N,5,55.00,W,58.0000,-5.9167,,7.95,,,
124,NMD_04,58,0.00,N,5,45.00,W,58.0000,-5.7500,,5.30,,,
125,NMD_05,58,0.00,N,5,35.00,W,58.0000,-5.5833,,5.30,,,
126,NME_01,57,50.00,N,6,40.00,W,57.8333,-6.6667,,35.97,,,
127,NME_02,57,50.00,N,6,25.00,W,57.8333,-6.4167,,7.99,,,
128,NME_03,57,50.00,N,6,10.00,W,57.8333,-6.1667,,7.99,,,
129,NME_04,57,50.00,N,5,52.00,W,57.8333,-5.8667,,9.59,,,
130,NMF_01,57,40.00,N,7,0.00,W,57.6667,-7.0000,,37.66,,,
131,NMF_02,57,40.00,N,6,45.00,W,57.6667,-6.7500,,8.03,,,
132,NMF_03,57,40.00,N,6,30.00,W,57.6667,-6.5000,,8.03,,,
133,NMG_01,57,30.00,N,7,6.00,W,57.5000,-7.1000,,21.75,,,
134,NMG_02,57,30.00,N,6,56.00,W,57.5000,-6.9333,,5.38,,,
135,NMG_03,57,30.00,N,6,47.00,W,57.5000,-6.7833,,4.84,,,
