Station Number,Station Name,Degrees Latitude,Minutes Latitude,Hemisphere Latitude,Degrees Longitude,Minutes Longitude,Hemisphere Longitude,Decimal Degrees Latitude,Decimal Degrees Longitude,Depth,Distance,Priority,Full Sampling Codes,Reduced Sampling Codes
1,NOL-01,60,56.00,N,1,0.00,W,60.9333,-1.0000,110,0.00,1,"N, CH, DS, S","N, CH, DS, S"
2,SEFN-01,60,58.70,N,1,17.70,W,60.9783,-1.2950,125,9.01,3,"N, CH",CH
3,SEFN-02,61,1.40,N,1,35.40,W,61.0233,-1.5900,155,9.00,3,"N, CH, S","CH, S"
4,NOL-02,61,4.00,N,1,53.00,W,61.0667,-1.8833,270,8.91,1,"N,  T, O/OCal, CH","N,  O/OCal, CH"
5,SEFN-03,61,6.00,N,2,1.50,W,61.1000,-2.0250,440,4.57,3,"N, CH, DS, S ","CH, DS, S "
6,NOL-03,61,8.00,N,2,10.00,W,61.1333,-2.1667,550,4.57,1,"N, CH","N, CH"
7,SEFN-04,61,9.30,N,2,17.50,W,61.1550,-2.2917,630,3.85,3,"N, CH, S","CH, S"
8,NOL-03A,61,11.00,N,2,25.00,W,61.1833,-2.4167,730,4.00,2,"N, CH",CH
9,NOL-04,61,14.00,N,2,40.00,W,61.2333,-2.6667,1080,7.83,1,"N,  T, O, CH, DS, S","N,  O, CH, DS, S"
10,NOL-05,61,21.00,N,3,10.00,W,61.3500,-3.1667,1370,16.03,2,"N, CH","N*, CH"
11,NOL-06,61,28.00,N,3,42.00,W,61.4667,-3.7000,1235,16.85,1,"N,  T, O/OCal, CH, S","N,  O/OCal, CH, S"
12,FARN-02,61,32.00,N,3,57.00,W,61.5333,-3.9500,1200,8.20,4,CTD only,CTD only
13,NOL-07,61,35.00,N,4,15.00,W,61.5833,-4.2500,990,9.09,2,"N, CH, DS","N*, CH, DS"
14,FARN-01,61,38.00,N,4,33.00,W,61.6333,-4.5500,530,9.08,4,CTD only,CTD only
15,NOL-08,61,42.00,N,4,51.00,W,61.7000,-4.8500,235,9.44,1,"N,  T, O, CH, S","N,  O, CH, S"
16,NOL-09,61,49.02,N,5,21.00,W,61.8170,-5.3500,180,15.85,1,"N, CH","N, CH"
17,NOL-10,61,54.00,N,5,45.00,W,61.9000,-5.7500,290,12.37,2,"N, CH, DS, S","CH, DS, S"
18,NOL-11A,61,56.50,N,5,57.00,W,61.9417,-5.9500,159,6.18,1,"N, T, O/OCal,CH","N, O/OCal,CH"
19,NOL-11,62,0.00,N,6,12.00,W,62.0000,-6.2000,125,14.05,1,"N, T, O/OCal,CH","N, O/OCal,CH"
