Station Number,Station Name,Degrees Latitude,Minutes Latitude,Hemisphere Latitude,Degrees Longitude,Minutes Longitude,Hemisphere Longitude,Decimal Degrees Latitude,Decimal Degrees Longitude,Depth,Distance,Priority,Full Sampling Codes,Reduced Sampling Codes
1,56deg_01,56,0.00,N,2,6.80,W,56.0000,-2.1133,,0.00,,,
2,56deg_02,56,0.00,N,1,53.50,W,56.0000,-1.8917,,7.44,,,
3,56deg_03 / GN034,56,0.00,N,1,40.20,W,56.0000,-1.6700,,7.44,,,
4,56deg_04,56,0.00,N,1,20.10,W,56.0000,-1.3350,,11.25,,,
5,56deg_05 / GN033,56,0.00,N,1,0.00,W,56.0000,-1.0000,,11.25,,,
6,56deg_06,56,0.00,N,0,40.00,W,56.0000,-0.6667,,11.19,,,
7,56deg_07,56,0.00,N,0,20.00,W,56.0000,-0.3333,,11.19,,,
8,56deg_08 / GN032,56,0.00,N,0,0.00,E,56.0000,0.0000,,11.19,,,
9,56deg_09,56,0.00,N,0,20.00,E,56.0000,0.3333,,11.19,,,
10,56deg_10,56,0.00,N,0,40.00,E,56.0000,0.6667,,11.19,,,
11,56deg_11 / GN031,56,0.00,N,1,0.00,E,56.0000,1.0000,,11.19,,,
12,56deg_12,56,0.00,N,1,20.00,E,56.0000,1.3333,,11.19,,,
13,56deg_13,56,0.00,N,1,40.00,E,56.0000,1.6667,,11.19,,,
14,56deg_14 / GN030,56,0.00,N,2,0.00,E,56.0000,2.0000,,11.19,,,
101,56p5deg_01,56,30.00,N,2,6.80,W,56.5000,-2.1133,,0.00,,,
102,56p5deg_02,56,30.00,N,1,53.50,W,56.5000,-1.8917,,7.35,,,
103,56p5deg_03,56,30.00,N,1,40.20,W,56.5000,-1.6700,,7.35,,,
104,56p5deg_04,56,30.00,N,1,20.10,W,56.5000,-1.3350,,11.10,,,
105,56p5deg_05,56,30.00,N,1,0.00,W,56.5000,-1.0000,,11.10,,,
106,56p5deg_06,56,30.00,N,0,40.00,W,56.5000,-0.6667,,11.05,,,
107,56p5deg_07,56,30.00,N,0,20.00,W,56.5000,-0.3333,,11.05,,,
108,56p5deg_08,56,30.00,N,0,0.00,E,56.5000,0.0000,,11.05,,,
109,56p5deg_09,56,30.00,N,0,20.00,E,56.5000,0.3333,,11.05,,,
110,56p5deg_10,56,30.00,N,0,40.00,E,56.5000,0.6667,,11.05,,,
111,56p5deg_11,56,30.00,N,1,0.00,E,56.5000,1.0000,,11.05,,,
112,56p5deg_12,56,30.00,N,1,20.00,E,56.5000,1.3333,,11.05,,,
113,56p5deg_13,56,30.00,N,1,40.00,E,56.5000,1.6667,,11.05,,,
114,56p5deg_14,56,30.00,N,2,0.00,E,56.5000,2.0000,,11.05,,,
201,58deg_01,58,0.00,N,2,6.80,W,58.0000,-2.1133,,0.00,,,
202,58deg_01A / GN045A,58,0.00,N,2,0.00,W,58.0000,-2.0000,,3.61,,,
203,58deg_02,58,0.00,N,1,53.50,W,58.0000,-1.8917,,3.45,,,
204,58deg_03,58,0.00,N,1,40.20,W,58.0000,-1.6700,,7.05,,,
205,58deg_04,58,0.00,N,1,20.10,W,58.0000,-1.3350,,10.66,,,
206,58deg_05 / GN045,58,0.00,N,1,0.00,W,58.0000,-1.0000,,10.66,,,
207,58deg_06,58,0.00,N,0,40.00,W,58.0000,-0.6667,,10.61,,,
208,58deg_06A / GN044B,58,0.00,N,0,22.80,W,58.0000,-0.3800,,9.12,,,
209,58deg_07,58,0.00,N,0,20.00,W,58.0000,-0.3333,,1.48,,,
210,58deg_08,58,0.00,N,0,0.00,E,58.0000,0.0000,,10.61,,,
211,58deg_08A / GN044S,58,0.00,N,0,15.00,E,58.0000,0.2500,,7.95,,,
212,58deg_09,58,0.00,N,0,20.00,E,58.0000,0.3333,,2.65,,,
213,58deg_10,58,0.00,N,0,40.00,E,58.0000,0.6667,,10.61,,,
214,58deg_10A / GN044A,58,0.00,N,0,52.80,E,58.0000,0.8800,,6.79,,,
215,58deg_11,58,0.00,N,1,0.00,E,58.0000,1.0000,,3.82,,,
216,58deg_12,58,0.00,N,1,20.00,E,58.0000,1.3333,,10.61,,,
217,58deg_12A / GN044,58,0.00,N,1,30.00,E,58.0000,1.5000,,5.30,,,
218,58deg_13,58,0.00,N,1,40.00,E,58.0000,1.6667,,5.30,,,
219,58deg_14,58,0.00,N,2,0.00,E,58.0000,2.0000,,10.61,,,
220,58deg_14A,58,0.00,N,2,15.00,E,58.0000,2.2500,,7.95,,,
