Station Number,Station Name,Degrees Latitude,Minutes Latitude,Hemisphere Latitude,Degrees Longitude,Minutes Longitude,Hemisphere Longitude,Decimal Degrees Latitude,Decimal Degrees Longitude,Depth,Distance,Priority,Full Sampling Codes,Reduced Sampling Codes
1,Svinoy_01,62,22.20,N,5,12.00,E,62.3700,5.2000,,0.00,,,
2,Svinoy_02,62,28.80,N,4,55.80,E,62.4800,4.9300,,10.00,,,
3,Svinoy_03,62,36.00,N,4,40.80,E,62.6000,4.6800,,9.99,,,
4,Svinoy_04,62,43.20,N,4,25.80,E,62.7200,4.4300,,9.97,,,
5,Svinoy_05,62,46.80,N,4,19.20,E,62.7800,4.3200,,4.70,,,
6,Svinoy_06,62,49.80,N,4,10.80,E,62.8300,4.1800,,4.88,,,
7,Svinoy_07,62,53.40,N,4,3.00,E,62.8900,4.0500,,5.07,,,
8,Svinoy_08,62,57.00,N,3,55.20,E,62.9500,3.9200,,5.06,,,
9,Svinoy_09,63,4.20,N,3,40.20,E,63.0700,3.6700,,9.92,,,
10,Svinoy_10,63,11.40,N,3,24.00,E,63.1900,3.4000,,10.28,,,
11,Svinoy_11,63,19.20,N,3,6.00,E,63.3200,3.1000,,11.25,,,
12,Svinoy_12,63,27.00,N,2,49.20,E,63.4500,2.8200,,10.85,,,
13,Svinoy_13,63,41.40,N,2,15.00,E,63.6900,2.2500,,20.97,,,
14,Svinoy_14,63,57.00,N,1,40.80,E,63.9500,1.6800,,21.72,,,
15,Svinoy_15,64,10.80,N,1,7.80,E,64.1800,1.1300,,19.98,,,
16,Svinoy_16,64,25.80,N,0,34.20,E,64.4300,0.5700,,20.92,,,
17,Svinoy_17,64,40.20,N,0,0.00,E,64.6700,0.0000,,20.59,,,
