Station Number,Station Name,Degrees Latitude,Minutes Latitude,Hemisphere Latitude,Degrees Longitude,Minutes Longitude,Hemisphere Longitude,Decimal Degrees Latitude,Decimal Degrees Longitude,Depth,Distance,Priority,Full Sampling Codes,Reduced Sampling Codes
1,1G,56,40.02,N,6,7.98,W,56.6670,-6.1330,190,0.00,,,
2,2G,56,40.98,N,6,16.98,W,56.6830,-6.2830,30,5.04,,,
3,3G,56,42.48,N,6,22.02,W,56.7080,-6.3670,70,3.15,,,
4,4G,56,43.98,N,6,27.00,W,56.7330,-6.4500,115,3.12,,,
5,5G,56,43.98,N,6,36.00,W,56.7330,-6.6000,80,4.94,,,
6,6G,56,43.98,N,6,45.00,W,56.7330,-6.7500,40,4.94,,,
7,7G,56,43.98,N,7,0.00,W,56.7330,-7.0000,140,8.23,,,
8,8G,56,43.98,N,7,10.02,W,56.7330,-7.1670,170,5.50,,,
9,9G,56,43.98,N,7,19.98,W,56.7330,-7.3330,160,5.47,,,
10,10G,56,43.98,N,7,30.00,W,56.7330,-7.5000,215,5.50,,,
11,11G,56,43.98,N,7,40.02,W,56.7330,-7.6670,110,5.50,,,
12,12G,56,45.48,N,7,49.98,W,56.7580,-7.8330,50,5.67,,,
13,13G,56,46.98,N,8,0.00,W,56.7830,-8.0000,110,5.70,,,
14,14G,56,48.48,N,8,10.02,W,56.8080,-8.1670,120,5.69,,,
15,T,56,50.22,N,8,19.98,W,56.8370,-8.3330,130,5.73,,,
16,15G,56,52.98,N,8,30.00,W,56.8830,-8.5000,125,6.14,,,
17,S,56,57.00,N,8,46.98,W,56.9500,-8.7830,125,10.11,,,
18,R,57,0.00,N,9,0.00,W,57.0000,-9.0000,300,7.71,,,
19,Q,57,3.00,N,9,13.02,W,57.0500,-9.2170,500,7.70,,,
20,Q1,57,4.50,N,9,19.02,W,57.0750,-9.3170,800,3.59,,,
21,P,57,6.00,N,9,25.02,W,57.1000,-9.4170,1400,3.59,,,
22,O,57,9.00,N,9,42.00,W,57.1500,-9.7000,1900,9.70,,,
23,N,57,13.98,N,10,3.00,W,57.2330,-10.0500,2100,12.43,,,
24,M,57,18.00,N,10,22.98,W,57.3000,-10.3830,2300,11.54,,,
