Station Number,Station Name,Degrees Latitude,Minutes Latitude,Hemisphere Latitude,Degrees Longitude,Minutes Longitude,Hemisphere Longitude,Decimal Degrees Latitude,Decimal Degrees Longitude,Depth,Distance,Priority,Full Sampling Codes,Reduced Sampling Codes
1,S0_01,59,52.93,N,1,31.00,W,59.8822,-1.5167,111,0.00,,,
2,S0_01A,59,56.46,N,1,38.00,W,59.9410,-1.6333,109,4.98,,,
3,S0_02,59,59.99,N,1,45.00,W,59.9998,-1.7500,103,4.98,,,
4,S0_03,60,6.54,N,1,58.00,W,60.1090,-1.9667,54,9.23,,,
5,S0_03A,60,10.58,N,2,6.00,W,60.1763,-2.1000,78,5.68,,,
6,S0_04,60,14.11,N,2,13.00,W,60.2352,-2.2167,119,4.96,,,
7,S0_05,60,17.64,N,2,19.94,W,60.2940,-2.3323,118,4.93,,,
8,S0_06,60,21.25,N,2,26.87,W,60.3542,-2.4478,133,4.98,,,
9,S0_06A,60,24.91,N,2,33.81,W,60.4152,-2.5635,158,5.02,,,
10,S0_8,60,31.96,N,2,47.88,W,60.5327,-2.7980,156,9.90,,,
11,S0_9,60,39.27,N,3,2.00,W,60.6545,-3.0333,303,10.08,,,
12,S0_10,60,45.88,N,3,16.00,W,60.7647,-3.2667,537,9.53,,,
101,S1_01,59,28.61,N,3,7.08,W,59.4768,-3.1180,74,0.00,,,
102,S1_02,59,32.14,N,3,14.02,W,59.5357,-3.2337,77,4.99,,,
103,S1_03,59,35.75,N,3,20.95,W,59.5958,-3.3492,73,5.04,,,
104,S1_04,59,39.41,N,3,27.89,W,59.6568,-3.4648,152,5.07,,,
105,S1_05,59,46.46,N,3,41.96,W,59.7743,-3.6993,116,10.01,,,
106,S1_06,59,53.74,N,3,55.93,W,59.8957,-3.9322,160,10.12,,,
107,S1_07,60,0.88,N,4,9.99,W,60.0147,-4.1665,155,10.03,,,
108,S1_08,60,8.01,N,4,24.25,W,60.1335,-4.4042,195,10.08,,,
109,S1_09,60,14.96,N,4,38.22,W,60.2493,-4.6370,630,9.83,,,
201,S2_01,59,50.57,N,5,36.97,W,59.8428,-5.6162,574,0.00,,,
202,S2_02,59,43.49,N,5,23.04,W,59.7248,-5.3840,144,9.97,,,
203,S2_03,59,36.37,N,5,8.97,W,59.6062,-5.1495,142,10.07,,,
204,S2_04,59,29.33,N,4,54.91,W,59.4888,-4.9152,143,10.02,,,
205,S2_05,59,22.21,N,4,41.13,W,59.3702,-4.6855,112,10.00,,,
206,S2_06,59,15.11,N,4,27.34,W,59.2518,-4.4557,94,10.00,,,
207,S2_07,59,7.99,N,4,13.65,W,59.1332,-4.2275,79,10.00,,,
208,S2_08,59,0.90,N,3,59.95,W,59.0150,-3.9992,73,10.00,,,
209,S2_09,58,57.34,N,3,53.18,W,58.9557,-3.8863,85,4.99,,,
210,S2_10,58,53.75,N,3,36.32,W,58.8958,-3.6053,88,9.42,,,
211,S2_11,58,50.14,N,3,39.34,W,58.8357,-3.6557,85,3.94,,,
212,S2_12,58,46.60,N,3,32.56,W,58.7767,-3.5427,70,4.99,,,
301,S3_01,58,38.83,N,5,2.09,W,58.6472,-5.0348,51,0.00,1,,
302,S3_02,58,42.42,N,5,8.79,W,58.7070,-5.1465,81,5.01,1,,
303,S3_03,58,46.03,N,5,15.69,W,58.7672,-5.2615,79,5.09,1,,
304,S3_04,58,49.65,N,5,22.48,W,58.8275,-5.3747,100,5.05,1,,
305,S3_05,58,56.83,N,5,35.98,W,58.9472,-5.5997,104,10.02,1,,
306,S3_06,59,3.90,N,5,49.81,W,59.0650,-5.8302,93,10.04,1,,
307,S3_07,59,11.04,N,6,3.57,W,59.1840,-6.0595,115,10.05,1,,
308,S3_08,59,18.23,N,6,17.29,W,59.3038,-6.2882,162,10.05,1,,
309,S3_08A,59,20.04,N,6,20.70,W,59.3340,-6.3450,164,2.51,1,,
310,S3_08B,59,21.78,N,6,24.12,W,59.3630,-6.4020,165,2.46,1,,
311,S3_08C,59,23.52,N,6,27.60,W,59.3920,-6.4600,172,2.49,1,,
312,S3_09,59,25.32,N,6,31.02,W,59.4220,-6.5170,222,2.51,1,,
313,S3_09A,59,25.86,N,6,35.04,W,59.4310,-6.5840,335,2.12,1,,
314,S3_09B,59,26.40,N,6,39.00,W,59.4400,-6.6500,478,2.09,1,,
315,S3_09C,59,26.94,N,6,43.02,W,59.4490,-6.7170,655,2.12,1,,
316,S3_09D,59,27.48,N,6,46.98,W,59.4580,-6.7830,843,2.09,1,,
317,S3_10,59,28.00,N,6,51.00,W,59.4667,-6.8500,910,2.11,2,,
318,S3_11,59,29.70,N,7,1.38,W,59.4950,-7.0230,1018,5.54,3,,
319,S3_12,59,31.38,N,7,11.76,W,59.5230,-7.1960,1056,5.53,3,,
320,S3_13,59,33.12,N,7,22.14,W,59.5520,-7.3690,1015,5.55,3,,
321,S3_14,59,34.80,N,7,32.52,W,59.5800,-7.5420,947,5.52,3,,
322,S3_15,59,36.48,N,7,42.96,W,59.6080,-7.7160,893,5.55,3,,
323,S3_16,59,38.16,N,7,53.34,W,59.6360,-7.8890,862,5.52,3,,
324,S3_17,59,39.84,N,8,3.72,W,59.6640,-8.0620,881,5.51,3,,
325,S3_18,59,41.58,N,8,14.10,W,59.6930,-8.2350,983,5.53,3,,
326,S3_19,59,43.26,N,8,24.48,W,59.7210,-8.4080,1085,5.50,3,,
327,S3_20,59,44.94,N,8,34.86,W,59.7490,-8.5810,1199,5.50,3,,
328,S3_21,59,46.62,N,8,45.24,W,59.7770,-8.7540,1317,5.49,3,,
329,S3_22,59,48.30,N,8,55.62,W,59.8050,-8.9270,1373,5.49,3,,
330,S3_23,59,50.04,N,9,6.06,W,59.8340,-9.1010,1375,5.53,3,,
331,S3_24,59,51.72,N,9,16.44,W,59.8620,-9.2740,1354,5.48,3,,
332,S3_25,59,53.40,N,9,26.82,W,59.8900,-9.4470,1335,5.48,3,,
333,S3_26,59,55.08,N,9,37.20,W,59.9180,-9.6200,1273,5.47,3,,
334,S3_27,59,56.76,N,9,47.58,W,59.9460,-9.7930,1172,5.47,3,,
401,S4_01,59,9.98,N,7,28.20,W,59.1663,-7.4700,719,0.00,,,
402,S4_02,59,1.62,N,7,13.40,W,59.0270,-7.2233,179,11.31,,,
403,S4_03,58,54.50,N,6,59.81,W,58.9083,-6.9968,168,10.00,,,
404,S4_04,58,47.41,N,6,46.12,W,58.7902,-6.7687,141,10.03,,,
405,S4_05,58,43.85,N,6,39.27,W,58.7308,-6.6545,128,5.03,,,
406,S4_06,58,40.34,N,6,32.43,W,58.6723,-6.5405,113,5.00,,,
407,S4_07,58,36.72,N,6,25.58,W,58.6120,-6.4263,88,5.08,,,
408,S4_08,58,33.15,N,6,18.74,W,58.5525,-6.3123,51,5.05,,,
501,HebShelf_01,58,17.00,N,7,5.00,W,58.2833,-7.0833,85,0.00,,,
502,HebShelf_02,58,21.50,N,7,13.50,W,58.3583,-7.2250,112,6.34,,,
503,HebShelf_03,58,26.00,N,7,22.00,W,58.4333,-7.3667,95,6.34,,,
504,HebShelf_04,58,30.50,N,7,30.50,W,58.5083,-7.5083,131,6.33,,,
505,HebShelf_05,58,35.00,N,7,39.00,W,58.5833,-7.6500,142,6.32,,,
506,HebShelf_06,58,39.50,N,7,47.50,W,58.6583,-7.7917,157,6.32,,,
507,HebShelf_07,58,44.00,N,7,56.00,W,58.7333,-7.9333,343,6.31,,,
508,HebShelf_08,58,48.50,N,8,4.50,W,58.8083,-8.0750,700,6.30,,,
509,HebShelf_09,58,53.00,N,8,13.00,W,58.8833,-8.2167,1200,6.30,,,
510,HebShelf_10,58,57.50,N,8,21.50,W,58.9583,-8.3583,,6.29,,,
