Station Number,Station Name,Degrees Latitude,Minutes Latitude,Hemisphere Latitude,Degrees Longitude,Minutes Longitude,Hemisphere Longitude,Decimal Degrees Latitude,Decimal Degrees Longitude,Depth,Distance,Priority,Full Sampling Codes,Reduced Sampling Codes
1,ES1_00,60,0.00,N,1,7.08,W,60.0000,-1.1180,102,0.00,2,,
2,ES1_00A,60,0.00,N,1,2.26,W,60.0000,-1.0377,111,2.41,2,,
3,ES1_01,60,0.00,N,1,0.00,W,60.0000,-1.0000,102,1.13,1,,
4,ES1_01A,60,0.00,N,0,55.00,W,60.0000,-0.9167,124,2.50,2,,
5,ES1_02,60,0.00,N,0,50.00,W,60.0000,-0.8333,111,2.50,1,,
6,ES1_03,60,0.00,N,0,40.00,W,60.0000,-0.6667,126,5.00,1,,
7,ES1_04 / GN053,60,0.00,N,0,30.00,W,60.0000,-0.5000,124,5.00,1,,
8,ES1_05,60,0.00,N,0,20.00,W,60.0000,-0.3333,128,5.00,1,,
9,ES1_06,60,0.00,N,0,0.00,E,60.0000,0.0000,145,10.01,1,,
10,ES1_07,60,0.00,N,0,20.00,E,60.0000,0.3333,124,10.01,1,,
11,ES1_08,60,0.00,N,0,40.00,E,60.0000,0.6667,123,10.01,1,,
12,ES1_09,60,0.00,N,1,0.00,E,60.0000,1.0000,122,10.01,1,,
13,ES1_10 / GN052A,60,0.00,N,1,20.00,E,60.0000,1.3333,113,10.01,2,,
14,ES1_11,60,0.00,N,1,40.00,E,60.0000,1.6667,113,10.01,2,,
15,ES1_12 / GN052,60,0.00,N,2,0.00,E,60.0000,2.0000,102,10.01,2,,
101,ES2M_01,60,30.00,N,1,0.00,W,60.5000,-1.0000,97,0.00,2,,
102,ES2M_02,60,30.00,N,0,50.00,W,60.5000,-0.8333,107,4.93,2,,
103,ES2M_02A,60,30.00,N,0,45.00,W,60.5000,-0.7500,89,2.46,3,,
104,ES2M_03,60,30.00,N,0,40.00,W,60.5000,-0.6667,136,2.46,1,,
105,ES2M_03A,60,30.00,N,0,35.00,W,60.5000,-0.5833,129,2.46,3,,
106,ES2M_04,60,30.00,N,0,30.00,W,60.5000,-0.5000,104,2.46,1,,
107,ES2M_04A,60,30.00,N,0,25.00,W,60.5000,-0.4167,89,2.46,3,,
108,ES2M_05,60,30.00,N,0,20.00,W,60.5000,-0.3333,79,2.46,1,,
109,ES2M_05A,60,30.00,N,0,10.00,W,60.5000,-0.1667,111,4.93,3,,
110,ES2M_06,60,30.00,N,0,0.00,E,60.5000,0.0000,117,4.93,1,,
111,ES2M_06A,60,30.00,N,0,10.00,E,60.5000,0.1667,134,4.93,3,,
112,ES2M_07,60,30.00,N,0,20.00,E,60.5000,0.3333,145,4.93,1,,
113,ES2M_08,60,30.00,N,0,40.00,E,60.5000,0.6667,148,9.86,1,,
114,ES2M_09,60,30.00,N,1,0.00,E,60.5000,1.0000,147,9.86,1,,
115,ES2M_10,60,30.00,N,1,20.00,E,60.5000,1.3333,129,9.86,2,,
116,ES2M_11,60,30.00,N,1,40.00,E,60.5000,1.6667,121,9.86,2,,
117,ES2M_12,60,30.00,N,2,0.00,E,60.5000,2.0000,,9.86,4,,
118,ES2M_13,60,30.00,N,2,20.00,E,60.5000,2.3333,,9.86,4,,
119,ES2M_14,60,30.00,N,2,40.00,E,60.5000,2.6667,,9.86,4,,
120,ES2M_15,60,30.00,N,3,0.00,E,60.5000,3.0000,,9.86,4,,
201,ES3_01,60,50.00,N,0,44.00,W,60.8333,-0.7333,,,,,
202,ES3_02,60,50.00,N,0,40.00,W,60.8333,-0.6667,,1.95,,,
203,ES3_03,60,50.00,N,0,30.00,W,60.8333,-0.5000,,4.88,,,
204,ES3_04,60,50.00,N,0,20.00,W,60.8333,-0.3333,,4.88,,,
205,ES3_05,60,50.00,N,0,0.00,E,60.8333,0.0000,,9.75,,,
206,ES3_06,60,50.00,N,0,20.00,E,60.8333,0.3333,,9.75,,,
207,ES3_07,60,50.00,N,0,40.00,E,60.8333,0.6667,,9.75,,,
208,ES3_08,60,50.00,N,1,0.00,E,60.8333,1.0000,,9.75,,,
209,ES3_09,60,50.00,N,1,20.00,E,60.8333,1.3333,,9.75,,,
210,ES3_10,60,50.00,N,1,40.00,E,60.8333,1.6667,,9.75,,,
211,ES3_11,60,50.00,N,2,0.00,E,60.8333,2.0000,,9.75,,,
301,FEI_SHET_01,60,45.00,N,4,37.00,E,60.7500,4.6167,175,,,,
302,FEI_SHET_02,60,45.00,N,4,27.00,E,60.7500,4.4500,375,4.89,,,
303,FEI_SHET_03,60,45.00,N,4,17.00,E,60.7500,4.2833,315,4.89,,,
304,FEI_SHET_04,60,45.00,N,4,7.00,E,60.7500,4.1167,315,4.89,,,
305,FEI_SHET_05,60,45.00,N,3,57.00,E,60.7500,3.9500,315,4.89,,,
306,FEI_SHET_06,60,45.00,N,3,47.00,E,60.7500,3.7833,325,4.89,,,
307,FEI_SHET_07,60,45.00,N,3,37.00,E,60.7500,3.6167,315,4.89,,,
308,FEI_SHET_08,60,45.00,N,3,27.00,E,60.7500,3.4500,325,4.89,,,
309,FEI_SHET_09,60,45.00,N,3,17.00,E,60.7500,3.2833,330,4.89,,,
310,FEI_SHET_10,60,45.00,N,3,7.00,E,60.7500,3.1167,240,4.89,,,
311,FEI_SHET_11,60,45.00,N,2,56.00,E,60.7500,2.9333,170,5.38,,,
312,FEI_SHET_12,60,45.00,N,2,46.00,E,60.7500,2.7667,125,4.89,,,
313,FEI_SHET_13,60,45.00,N,2,36.00,E,60.7500,2.6000,125,4.89,,,
314,FEI_SHET_14,60,45.00,N,2,16.00,E,60.7500,2.2667,125,9.78,,,
