Station Number,Station Name,Degrees Latitude,Minutes Latitude,Hemisphere Latitude,Degrees Longitude,Minutes Longitude,Hemisphere Longitude,Decimal Degrees Latitude,Decimal Degrees Longitude,Depth
1,WCO-E1,50,1.998,N,4,22.002,W,50.0333,-4.3667,
2,CAW,59,16.98,N,1,55.98,W,59.283,-1.933,
3,FICW,59,16.98,N,2,13.98,W,59.283,-2.233,
4,NSea_Inflow,59,0,N,1,0,E,59,1,
5,Utsire-A,59,0,N,0,30,E,59,0.5,
6,Utsire-B,59,0,N,4,0,E,59,4,
7,West_Gabbard,51,57.3,N,2,6.9,E,51.955,2.115,
8,Helgoland_Roads,54,10.998,N,7,54,E,54.1833,7.9,
9,NSea_SST,55,59.4,N,3,12.06,E,55.99,3.201,
10,38a_Mooring,53,46.9806,N,5,37.5144,W,53.78301,-5.62524,
11,Malin,55,22.2,N,7,20.4,W,55.37,-7.34,
12,M3,51,13.2,N,10,33,W,51.22,-10.55,
