Station Number,Station Name,Degrees Latitude,Minutes Latitude,Hemisphere Latitude,Degrees Longitude,Minutes Longitude,Hemisphere Longitude,Decimal Degrees Latitude,Decimal Degrees Longitude,Depth
1,MI_OCC_01,53,10.288,N,9,11.77,W,53.171,-9.196,
2,MI_OCC_02,53,9.59,N,9,18.624,W,53.16,-9.31,
3,MI_OCC_03,53,0.138,N,9,59.905,W,53.002,-9.998,102
4,MI_OCC_04,52,59.599,N,10,29.934,W,52.993,-10.499,106
5,MI_OCC_05,53,0.004,N,11,0.076,W,53,-11.001,134
6,MI_OCC_06,53,0.038,N,11,29.818,W,53.001,-11.497,136
7,MI_OCC_07,52,59.933,N,11,59.862,W,52.999,-11.998,215
8,MI_OCC_08,52,59.906,N,12,28.953,W,52.998,-12.483,365
9,MI_OCC_09,52,59.906,N,12,59.882,W,52.998,-12.998,366
10,MI_OCC_10,53,0.039,N,13,43.843,W,53.001,-13.731,196
11,MI_OCC_11,53,0.115,N,14,14.077,W,53.002,-14.235,221
12,MI_OCC_12,52,59.906,N,14,42.5,W,52.998,-14.708,487
13,MI_OCC_13,52,59.895,N,14,49.138,W,52.998,-14.819,752
14,MI_OCC_14,52,59.924,N,14,54.606,W,52.999,-14.91,1347
15,MI_OCC_15,52,59.928,N,14,59.459,W,52.999,-14.991,1505
16,MI_OCC_16,52,59.971,N,15,4.794,W,53,-15.08,2015
17,MI_OCC_17,52,59.894,N,15,14.334,W,52.998,-15.239,2273
18,MI_OCC_18,52,59.95,N,15,31.189,W,52.999,-15.52,2995
19,MI_OCC_19,53,4.5,N,15,52.86,W,53.075,-15.881,3000
20,MI_OCC_20,53,13.925,N,15,55.962,W,53.232,-15.933,3243
21,MI_OCC_21,53,27.576,N,16,14.898,W,53.46,-16.248,2993
22,MI_OCC_22,53,41.495,N,16,35.168,W,53.692,-16.586,2445
23,MI_OCC_23,53,55.295,N,16,54.604,W,53.922,-16.91,2395
24,MI_OCC_24,54,9.012,N,17,14.334,W,54.15,-17.239,2430
25,MI_OCC_25,54,22.733,N,17,34.907,W,54.379,-17.582,1830
26,MI_OCC_26,54,36.592,N,17,54.014,W,54.61,-17.9,1339
27,MI_OCC_27,54,34.271,N,18,21.555,W,54.571,-18.359,1000
28,MI_OCC_28,54,33.082,N,18,51.353,W,54.551,-18.856,1000
29,MI_OCC_29,54,32.369,N,19,18.561,W,54.539,-19.309,1000
30,MI_OCC_30,54,31.418,N,19,45.769,W,54.524,-19.763,1000
31,MI_OCC_31,54,30.704,N,20,15.999,W,54.512,-20.267,2500
32,MI_OCC_32,54,29.515,N,20,43.639,W,54.492,-20.727,2500
33,MI_OCC_33,54,28.564,N,21,12.142,W,54.476,-21.202,3355
34,MI_OCC_34,54,27.376,N,21,39.35,W,54.456,-21.656,3355
35,MI_OCC_35,54,24.882,N,22,2.677,W,54.415,-22.045,3355
36,MI_OCC_36,54,30.081,N,22,29.123,W,54.501,-22.485,3355
37,MI_OCC_37,54,34.588,N,22,58.088,W,54.576,-22.968,3355
38,MI_OCC_38,54,40.134,N,23,25.793,W,54.669,-23.43,3355
39,MI_OCC_39,54,45.681,N,23,57.276,W,54.761,-23.955,3000
40,MI_OCC_40,54,51.227,N,24,29.389,W,54.854,-24.49,3000
41,MI_OCC_41,54,56.774,N,24,59.613,W,54.946,-24.994,3000
42,MI_OCC_42,55,3.013,N,25,33.614,W,55.05,-25.56,3355
43,MI_OCC_43,55,8.56,N,26,4.468,W,55.143,-26.074,3355
44,MI_OCC_44,55,12.026,N,26,28.395,W,55.2,-26.473,3355
